SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26,ANNOTATOR_27
1,ar-en,ad,10,100.0,nan,88.0,nan,75.0,98.0,84.0,nan,64.0,nan,100.0,nan,nan,nan,nan,nan,nan,100.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
2,ar-en,ad,10,86.0,nan,88.0,nan,68.0,98.0,30.0,nan,39.0,nan,95.0,nan,nan,nan,nan,nan,nan,75.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
3,ar-en,ad,10,71.0,nan,75.0,nan,70.0,95.0,81.0,nan,64.0,nan,85.0,nan,nan,nan,nan,nan,nan,100.0,100.0,73.0,nan,nan,nan,nan,nan,nan,nan
4,ar-en,ad,10,83.0,nan,81.0,nan,74.0,88.0,56.0,nan,100.0,nan,100.0,nan,nan,nan,nan,nan,nan,75.0,75.0,100.0,nan,nan,nan,nan,nan,nan,nan
5,ar-en,ad,10,100.0,nan,98.0,nan,85.0,96.0,97.0,nan,100.0,nan,100.0,nan,nan,nan,nan,nan,nan,100.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
6,ar-en,ad,10,100.0,nan,92.0,nan,97.0,96.0,100.0,nan,100.0,nan,100.0,nan,nan,nan,nan,nan,nan,100.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
7,ar-en,ad,10,90.0,nan,95.0,nan,84.0,98.0,100.0,nan,100.0,nan,91.0,nan,nan,nan,nan,nan,nan,100.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
8,ar-en,ad,10,100.0,nan,98.0,nan,90.0,93.0,100.0,nan,100.0,nan,93.0,nan,nan,nan,nan,nan,nan,100.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
9,ar-en,ad,10,13.0,nan,49.0,nan,53.0,98.0,0.0,nan,25.0,nan,18.0,nan,nan,nan,nan,nan,nan,51.0,25.0,33.0,nan,nan,nan,nan,nan,nan,nan
10,ar-en,ad,10,100.0,nan,98.0,nan,67.0,98.0,94.0,nan,75.0,nan,89.0,nan,nan,nan,nan,nan,nan,100.0,100.0,99.0,nan,nan,nan,nan,nan,nan,nan
11,ar-en,ad,10,67.0,nan,75.0,nan,77.0,91.0,85.0,nan,24.0,nan,39.0,nan,nan,nan,nan,nan,nan,50.0,25.0,76.0,nan,nan,nan,nan,nan,nan,nan
12,ar-en,ad,10,100.0,nan,99.0,nan,93.0,99.0,100.0,nan,100.0,nan,100.0,nan,nan,nan,nan,nan,nan,100.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
13,ar-en,ad,10,100.0,nan,99.0,nan,99.0,99.0,100.0,nan,100.0,nan,100.0,nan,nan,nan,nan,nan,nan,99.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
14,ar-en,ad,10,100.0,nan,99.0,nan,88.0,98.0,100.0,nan,100.0,nan,100.0,nan,nan,nan,nan,nan,nan,100.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
