SEGID,LANGPAIR,ANNOTYPE,BINLABEL,MEANSCORE,NUMANNOT
1,ar-en,ad,True,0.4230729638803656,9
2,ar-en,ad,True,0.007973431761558193,9
3,ar-en,ad,True,-0.06785237304240345,9
4,ar-en,ad,True,0.1310701282009875,9
5,ar-en,ad,True,0.7451154236278899,9
6,ar-en,ad,True,0.8333238416018879,9
7,ar-en,ad,True,0.6368329529883332,9
8,ar-en,ad,True,0.7258131370396536,9
9,ar-en,ad,False,-1.9184650154401675,9
10,ar-en,ad,True,0.38422360468081684,9
11,ar-en,ad,True,-1.0398139920053036,9
12,ar-en,ad,True,0.8694418727896339,9
13,ar-en,ad,True,0.9291918738084275,9
14,ar-en,ad,True,0.8049676738083984,9
15,ar-en,ad,True,0.9091352145802636,9
16,ar-en,ad,True,0.7771277955105401,9
17,ar-en,ad,True,-0.3064064401468642,9
18,ar-en,ad,True,0.3651622326785195,9
19,ar-en,ad,True,0.7313524733365705,9
20,ar-en,ad,True,-0.54554757428879,9
21,ar-en,ad,True,0.5434445088263988,9
22,ar-en,ad,True,0.44901608994346176,9
23,ar-en,ad,True,-0.7582002920728438,9
24,ar-en,ad,True,-0.36434037645174694,9
25,ar-en,ad,True,0.37987750684763505,9
26,ar-en,ad,True,0.6126585493422314,9
27,ar-en,ad,True,0.6638080947935828,9
28,ar-en,ad,True,-0.4545194552552972,9
29,ar-en,ad,True,-0.5075197359437047,9
30,ar-en,ad,True,-0.12722025214288818,9
31,ar-en,ad,True,0.32005817598699704,9
32,ar-en,ad,True,-0.6156767627007587,9
33,ar-en,ad,True,-1.102961970607228,9
34,ar-en,ad,True,-0.3323974832456579,9
35,ar-en,ad,True,0.871313436200118,9
36,ar-en,ad,True,0.7868206873845531,9
37,ar-en,ad,True,0.8433311029262752,9
38,ar-en,ad,True,-1.3247761103549351,9
39,ar-en,ad,True,0.4021295466250764,9
40,ar-en,ad,True,-1.4775922377246067,9
41,ar-en,ad,True,-1.0793845765678556,9
42,ar-en,ad,True,0.6138317476128667,9
43,ar-en,ad,True,-0.4950966287023072,9
44,ar-en,ad,True,-0.39602606951908825,9
45,ar-en,ad,True,0.016563786955757158,9
46,ar-en,ad,True,-0.18170059858241328,9
47,ar-en,ad,True,0.9629995414561267,9
48,ar-en,ad,True,0.4515778426995945,9
49,ar-en,ad,False,-2.1296374817411508,9
50,ar-en,ad,True,-0.4279851196259743,9
51,ar-en,ad,True,-0.4065851564076183,9
52,ar-en,ad,True,0.8745751770164734,9
53,ar-en,ad,False,-2.243783645503352,9
54,ar-en,ad,True,0.7714587475685939,9
55,ar-en,ad,True,0.765376767185254,9
56,ar-en,ad,True,0.10951255310845696,9
57,ar-en,ad,True,-1.235968551190319,9
58,ar-en,ad,True,0.5408329398657313,9
59,ar-en,ad,True,-1.4176130427574958,9
60,ar-en,ad,True,0.10928774891763438,9
61,ar-en,ad,True,-0.34821218893088135,9
62,ar-en,ad,True,-0.4456965170600912,9
63,ar-en,ad,True,0.10501988408847379,9
64,ar-en,ad,True,-0.7645984152269519,9
65,ar-en,ad,True,-0.8411761847380306,9
66,ar-en,ad,True,0.774481706844681,9
67,ar-en,ad,True,0.7567319687480585,9
68,ar-en,ad,True,0.87979040383646,9
69,ar-en,ad,True,0.3943426868988311,9
70,ar-en,ad,True,0.17405322184904237,9
71,ar-en,ad,True,-0.3586656694204196,10
72,ar-en,ad,True,0.3419602633119669,10
73,ar-en,ad,True,0.5931440558411207,10
74,ar-en,ad,True,-0.3790155962590961,10
75,ar-en,ad,True,0.7181196800945415,10
76,ar-en,ad,True,0.16176526377429656,10
77,ar-en,ad,False,-1.0174518450457577,10
78,ar-en,ad,False,-1.0731365503961812,10
79,ar-en,ad,True,-0.38711492119105556,10
80,ar-en,ad,True,0.4504348804293604,10
81,ar-en,ad,True,0.7313579341755447,10
82,ar-en,ad,True,0.29257427728903357,10
83,ar-en,ad,True,-0.4949352173774778,10
84,ar-en,ad,True,-0.04670267422652259,10
85,ar-en,ad,True,-0.2583014843829261,10
86,ar-en,ad,True,-0.35738325419838796,10
87,ar-en,ad,True,0.011908268266479482,10
88,ar-en,ad,True,-0.24247845319726985,10
89,ar-en,ad,True,-0.4679129044092443,10
