SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26,ANNOTATOR_27
1,ar-en,bl,10,32.0,nan,92.0,nan,76.0,96.0,83.0,nan,26.0,nan,82.0,nan,nan,nan,nan,nan,nan,5.0,75.0,77.0,nan,nan,nan,nan,nan,nan,nan
2,ar-en,bl,10,40.0,nan,90.0,nan,75.0,92.0,82.0,nan,35.0,nan,82.0,nan,nan,nan,nan,nan,nan,26.0,75.0,76.0,nan,nan,nan,nan,nan,nan,nan
3,ar-en,bl,10,0.0,nan,78.0,nan,70.0,87.0,69.0,nan,65.0,nan,62.0,nan,nan,nan,nan,nan,nan,12.0,75.0,43.0,nan,nan,nan,nan,nan,nan,nan
4,ar-en,bl,10,70.0,nan,97.0,nan,74.0,86.0,85.0,nan,76.0,nan,100.0,nan,nan,nan,nan,nan,nan,7.0,25.0,100.0,nan,nan,nan,nan,nan,nan,nan
5,ar-en,bl,10,94.0,nan,100.0,nan,87.0,99.0,100.0,nan,88.0,nan,100.0,nan,nan,nan,nan,nan,nan,41.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
6,ar-en,bl,10,100.0,nan,100.0,nan,80.0,99.0,100.0,nan,89.0,nan,100.0,nan,nan,nan,nan,nan,nan,48.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
7,ar-en,bl,10,100.0,nan,97.0,nan,89.0,99.0,100.0,nan,90.0,nan,100.0,nan,nan,nan,nan,nan,nan,41.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
8,ar-en,bl,10,100.0,nan,68.0,nan,89.0,99.0,86.0,nan,90.0,nan,90.0,nan,nan,nan,nan,nan,nan,39.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
9,ar-en,bl,10,41.0,nan,86.0,nan,68.0,97.0,83.0,nan,51.0,nan,75.0,nan,nan,nan,nan,nan,nan,13.0,87.0,90.0,nan,nan,nan,nan,nan,nan,nan
10,ar-en,bl,10,41.0,nan,84.0,nan,67.0,97.0,58.0,nan,26.0,nan,78.0,nan,nan,nan,nan,nan,nan,14.0,63.0,100.0,nan,nan,nan,nan,nan,nan,nan
11,ar-en,bl,10,26.0,nan,96.0,nan,72.0,83.0,52.0,nan,38.0,nan,71.0,nan,nan,nan,nan,nan,nan,24.0,25.0,100.0,nan,nan,nan,nan,nan,nan,nan
