SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26,ANNOTATOR_27
1,ar-en,bl,10,-2.068104651531831,nan,0.4968604845434584,nan,-0.6923860957491017,0.4619071299856037,0.02604344601613215,nan,-1.7791406121291364,nan,-0.7396602828620561,nan,nan,nan,nan,nan,nan,-2.0306566156352135,-0.21770717500236783,-0.2780157804210403,nan,nan,nan,nan,nan,nan,nan
2,ar-en,bl,10,-1.737067270490871,nan,0.38079975978358,nan,-0.8230168473132222,0.23954087954243644,-0.02927364087084553,nan,-1.3862673035550712,nan,-0.7396602828620561,nan,nan,nan,nan,nan,nan,-1.0790518417810548,-0.21770717500236783,-0.3163397349250827,nan,nan,nan,nan,nan,nan,nan
3,ar-en,bl,10,-3.3922541756956717,nan,-0.3155645887756903,nan,-1.476170605133825,-0.038416933511522616,-0.7483957704015554,nan,-0.0766896083081877,nan,-2.3478176810604947,nan,nan,nan,nan,nan,nan,-1.713455024350494,-0.21770717500236783,-1.5810302335584827,nan,nan,nan,nan,nan,nan,nan
4,ar-en,bl,10,-0.49567709158727075,nan,0.7870122964431543,nan,-0.9536475988773429,-0.09400849612231443,0.13667761979008752,nan,0.40348887994900295,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,-1.940027589553865,-2.0652221922242977,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
5,ar-en,bl,10,0.4974350515356095,nan,0.9611033835829719,nan,0.7445521714562244,0.6286818178179792,0.9664339230947527,nan,0.9273199580477565,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,-0.3993341461709416,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
6,ar-en,bl,10,0.7457130873163296,nan,0.9611033835829719,nan,-0.1698630894926195,0.6286818178179792,0.9664339230947527,nan,0.9709725478893192,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,-0.08213255488622202,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
7,ar-en,bl,10,0.7457130873163296,nan,0.7870122964431543,nan,1.0058136745844655,0.6286818178179792,0.9664339230947527,nan,1.014625137730882,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,-0.3993341461709416,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
8,ar-en,bl,10,0.7457130873163296,nan,-0.8958682125750822,nan,1.0058136745844655,0.6286818178179792,0.1919947066770652,nan,1.014625137730882,nan,-0.09639732358268079,nan,nan,nan,nan,nan,nan,-0.48996317225229,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
9,ar-en,bl,10,-1.695687597860751,nan,0.14867831026382322,nan,-1.737432108262066,0.5174986925963955,0.02604344601613215,nan,-0.6878258660900667,nan,-1.3025153722315095,nan,nan,nan,nan,nan,nan,-1.6681405113098198,0.2256964291308954,0.22019562813151125,nan,nan,nan,nan,nan,nan,nan
10,ar-en,bl,10,-1.695687597860751,nan,0.03261758550394483,nan,-1.8680628598261868,0.5174986925963955,-1.35688372615831,nan,-1.7791406121291364,nan,-1.0612917625017437,nan,nan,nan,nan,nan,nan,-1.6228259982691455,-0.661110779135631,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
11,ar-en,bl,10,-2.3163826873125513,nan,0.7289819340632151,nan,-1.214909102005584,-0.26078318395468986,-1.688786247480176,nan,-1.255309534030383,nan,-1.6241468518711972,nan,nan,nan,nan,nan,nan,-1.1696808678624033,-2.0652221922242977,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
12,ar-en,bl,10,0.7457130873163296,nan,0.9030730212030327,nan,-0.6923860957491017,0.6286818178179792,0.9664339230947527,nan,0.9709725478893192,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,1.1866738102526562,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
13,ar-en,bl,10,0.7457130873163296,nan,0.9611033835829719,nan,-0.6923860957491017,0.5730902552071874,0.9664339230947527,nan,1.0582777275724449,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,0.6428996537645655,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
14,ar-en,bl,10,0.7457130873163296,nan,0.9030730212030327,nan,0.6139214198921038,0.6286818178179792,0.9664339230947527,nan,0.9709725478893192,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,0.5522706276832171,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
15,ar-en,bl,10,0.7457130873163296,nan,0.9030730212030327,nan,0.6139214198921038,0.684273380428771,0.9664339230947527,nan,1.0582777275724449,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,1.141359297211982,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
16,ar-en,bl,10,0.7457130873163296,nan,0.9611033835829719,nan,0.4832906683279833,0.6286818178179792,0.35794596733799827,nan,0.9709725478893192,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,0.733528679845914,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
17,ar-en,bl,10,-0.9094738178884708,nan,0.3227693974036408,nan,-0.6923860957491017,-0.3719663091762735,-0.36117616219271165,nan,-0.7751310457731923,nan,-0.4984366731322904,nan,nan,nan,nan,nan,nan,0.4616416016018686,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
18,ar-en,bl,10,0.7457130873163296,nan,0.9611033835829719,nan,-0.8230168473132222,0.6286818178179792,0.9664339230947527,nan,1.014625137730882,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,0.7788431928865882,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
19,ar-en,bl,10,0.7457130873163296,nan,0.6709515716832759,nan,-0.9536475988773429,0.684273380428771,0.9664339230947527,nan,0.9709725478893192,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,0.5522706276832171,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
20,ar-en,bl,10,-2.3163826873125513,nan,-0.8958682125750822,nan,-0.03923233792849894,-1.5949806866136933,-1.4675178999322653,nan,-1.8227932019706992,nan,-3.1518963801597137,nan,nan,nan,nan,nan,nan,0.1444400103171491,-0.21770717500236783,-0.35466368942912513,nan,nan,nan,nan,nan,nan,nan
21,ar-en,bl,10,0.7457130873163296,nan,0.9030730212030327,nan,-0.9536475988773429,0.5174986925963955,0.9664339230947527,nan,0.9709725478893192,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,0.28038354943917176,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
22,ar-en,bl,10,0.7457130873163296,nan,0.9030730212030327,nan,0.3526599167638627,0.5730902552071874,0.5238972279989313,nan,0.9709725478893192,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,0.3710125755205202,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
23,ar-en,bl,10,-0.2887787284366707,nan,0.8450426588230935,nan,-0.9536475988773429,-0.09400849612231443,-0.5824445097406223,nan,-1.2989621238719458,nan,-0.5788445430422123,nan,nan,nan,nan,nan,nan,-0.21807609400824468,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
24,ar-en,bl,10,0.7457130873163296,nan,0.3227693974036408,nan,-0.1698630894926195,0.5730902552071874,0.9664339230947527,nan,0.8836673682061936,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,0.5522706276832171,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
25,ar-en,bl,10,0.7457130873163296,nan,0.9030730212030327,nan,-0.8230168473132222,0.6286818178179792,-0.5824445097406223,nan,0.9709725478893192,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,0.4616416016018686,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
26,ar-en,bl,10,0.7457130873163296,nan,0.9030730212030327,nan,0.4832906683279833,0.6286818178179792,0.9664339230947527,nan,0.9273199580477565,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,1.141359297211982,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
27,ar-en,bl,10,0.7457130873163296,nan,0.8450426588230935,nan,-0.6923860957491017,0.5730902552071874,0.08136053290310984,nan,0.40348887994900295,nan,0.7076813755165384,nan,nan,nan,nan,nan,nan,1.1866738102526562,0.7060503336085973,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
28,ar-en,bl,10,0.24915701575488947,nan,0.03261758550394483,nan,1.0058136745844655,-0.3719663091762735,-0.5271274228536447,nan,-1.3426147137135085,nan,-1.7045547217811192,nan,nan,nan,nan,nan,nan,-0.5805921983336385,-0.21770717500236783,0.5267872641638507,nan,nan,nan,nan,nan,nan,nan
29,ar-en,bl,10,-1.9853453062715911,nan,-0.4316253135355687,nan,-0.5617553441849812,-1.706163811835277,-1.0802982917234214,nan,-2.4339294597525782,nan,-2.3478176810604947,nan,nan,nan,nan,nan,nan,1.0507302711306334,-2.0652221922242977,-0.35466368942912513,nan,nan,nan,nan,nan,nan,nan
30,ar-en,bl,10,-1.0749925084089509,nan,0.7870122964431543,nan,-0.8230168473132222,-1.7617553744460688,-2.0206887688020423,nan,-1.8227932019706992,nan,-2.1870019412406507,nan,nan,nan,nan,nan,nan,0.5522706276832171,-2.9889797008352628,-1.772650006078695,nan,nan,nan,nan,nan,nan,nan
31,ar-en,bl,10,-0.5784364368475108,nan,0.7870122964431543,nan,-1.214909102005584,-0.9278819352841916,0.35794596733799827,nan,-1.7791406121291364,nan,-1.7045547217811192,nan,nan,nan,nan,nan,nan,0.9147867320086108,0.44739823119752703,-0.2780157804210403,nan,nan,nan,nan,nan,nan,nan
32,ar-en,bl,10,0.7457130873163296,nan,-1.6502629235142916,nan,-1.214909102005584,-0.7611072474518161,0.1919947066770652,nan,-0.033037018466624914,nan,-0.1768051934926027,nan,nan,nan,nan,nan,nan,0.6882141668052397,0.5212988318864042,0.6034351731719355,nan,nan,nan,nan,nan,nan,nan
