SEGID,LANGPAIR,ANNOTYPE,BINLABEL,MEANSCORE,NUMANNOT
1,ar-en,bl,True,-0.6820860152785554,10
2,ar-en,bl,True,-0.5708043457474554,10
3,ar-en,bl,True,-1.1907501795798292,10
4,ar-en,bl,True,-0.29102876234943725,10
5,ar-en,bl,True,0.6343359041661424,10
6,ar-en,bl,True,0.6038075997619583,10
7,ar-en,bl,True,0.6766112673113693,10
8,ar-en,bl,True,0.3414085222497201,10
9,ar-en,bl,True,-0.5953488949615455,10
10,ar-en,bl,True,-0.8891451884608628,10
11,ar-en,bl,True,-1.0262803559506133,10
12,ar-en,bl,True,0.6726328994122038,10
13,ar-en,bl,True,0.6272298817086222,10
14,ar-en,bl,True,0.7398233327193805,10
15,ar-en,bl,True,0.8130218739016488,10
16,ar-en,bl,True,0.6898403034415567,10
17,ar-en,bl,True,-0.1514673598125998,10
18,ar-en,bl,True,0.6289550577413353,10
19,ar-en,bl,True,0.5654134421515394,10
20,ar-en,bl,True,-1.1716602260606848,10
21,ar-en,bl,True,0.544759410495873,10
22,ar-en,bl,True,0.6457585514196253,10
23,ar-en,bl,True,-0.1860233928495727,10
24,ar-en,bl,True,0.5891248451715773,10
25,ar-en,bl,True,0.43217876010717554,10
26,ar-en,bl,True,0.7813038655316886,10
27,ar-en,bl,True,0.5160150010999349,10
28,ar-en,bl,True,-0.2930187000853402,10
29,ar-en,bl,True,-1.1916090818886702,10
30,ar-en,bl,True,-1.3112595424969222,10
31,ar-en,bl,True,-0.3975795361481292,10
32,ar-en,bl,True,-0.10854655190739448,10
33,ar-en,bl,True,0.2511349942992389,9
34,ar-en,bl,True,-0.7479436904745264,9
35,ar-en,bl,True,0.8809225282130398,9
36,ar-en,bl,True,0.04405905420935613,9
37,ar-en,bl,True,0.8374152796872849,9
38,ar-en,bl,True,0.8072795469121085,9
39,ar-en,bl,True,0.7304286046327032,9
40,ar-en,bl,True,0.8939848671983748,9
41,ar-en,bl,True,0.8748912362173159,9
42,ar-en,bl,True,0.8848080227655382,9
43,ar-en,bl,True,0.19754879270456116,9
44,ar-en,bl,True,-0.6128947178882503,9
45,ar-en,bl,True,-0.22044235269824106,9
46,ar-en,bl,True,-0.8749346506768729,9
47,ar-en,bl,True,0.8329468393502586,9
48,ar-en,bl,True,0.4296024940883172,9
49,ar-en,bl,True,-1.2649104806631373,9
50,ar-en,bl,True,-0.2649762652535765,9
51,ar-en,bl,True,-0.2765217421894481,9
52,ar-en,bl,True,0.6798801912410236,9
53,ar-en,bl,True,0.18025516031011046,9
54,ar-en,bl,True,0.8763434251835497,9
55,ar-en,bl,True,0.8242273042656304,9
56,ar-en,bl,True,0.25017035114264635,9
57,ar-en,bl,True,-1.549711739338311,9
58,ar-en,bl,True,0.5661822232865691,9
59,ar-en,bl,True,-1.1699722663965726,9
60,ar-en,bl,True,-0.5616161659699511,9
61,ar-en,bl,True,0.38860354750334924,9
62,ar-en,bl,True,-0.11495377451002826,9
63,ar-en,bl,True,0.16801800006117962,9
64,ar-en,bl,False,-1.5231722701146218,9
65,ar-en,bl,True,-0.7578066305616313,9
66,ar-en,bl,True,0.6687077218749541,9
67,ar-en,bl,True,0.8641350859191816,9
68,ar-en,bl,True,0.7178102518949936,9
69,ar-en,bl,True,0.19968178458434716,9
70,ar-en,bl,True,0.5323178988157327,9
71,ar-en,bl,True,0.6423548637519799,10
72,ar-en,bl,True,0.32778757273300513,10
73,ar-en,bl,True,0.027713021667020145,10
74,ar-en,bl,True,-0.5233224310557959,10
75,ar-en,bl,True,0.7207941458592888,10
76,ar-en,bl,True,0.4342660621896332,10
77,ar-en,bl,True,-1.074958811481291,10
78,ar-en,bl,True,0.1807410194377344,10
79,ar-en,bl,True,-0.8917920645453478,10
80,ar-en,bl,True,0.17532911963219217,10
81,ar-en,bl,True,0.6732565558110573,10
82,ar-en,bl,True,0.34260666150172553,10
83,ar-en,bl,True,-0.9810342005137077,10
84,ar-en,bl,True,0.5528286293546627,10
85,ar-en,bl,True,-0.519762381395118,10
86,ar-en,bl,True,0.30740038187404906,10
87,ar-en,bl,True,-0.14665138045222886,10
88,ar-en,bl,True,-0.44772697005427914,10
89,ar-en,bl,True,-0.9298516868040565,10
90,ar-en,bl,True,0.5132857681932294,10
91,ar-en,bl,True,0.6979392369775572,10
92,ar-en,bl,True,-1.4678386470815457,10
93,ar-en,bl,True,0.6721026800633303,10
94,ar-en,bl,True,-1.4242740109766168,10
95,ar-en,bl,True,0.7559026579672867,10
96,ar-en,bl,True,-0.2483533284307779,10
97,ar-en,bl,True,-0.3340264579921697,10
98,ar-en,bl,True,-0.8933444236390675,10
99,ar-en,bl,True,-0.7519673556618927,10
100,ar-en,bl,True,-0.006641622032265393,10
101,ar-en,bl,False,-1.4185140581990043,10
102,ar-en,bl,True,-0.0075221032174557,10
103,ar-en,bl,True,-1.0535746333979712,10
104,ar-en,bl,False,-1.9234391396574924,10
105,ar-en,bl,True,0.6508863965558291,10
106,ar-en,bl,True,-0.06928392061645569,10
107,ar-en,bl,True,0.644882836047529,10
108,ar-en,bl,True,0.6988575740402403,10
109,ar-en,bl,True,0.6855497543232044,10
110,ar-en,bl,True,-0.29191919015572915,10
111,ar-en,bl,True,-0.7190295897170508,10
112,ar-en,bl,True,0.69774427389596,10
113,ar-en,bl,True,-0.503212807271294,10
114,ar-en,bl,True,0.7224206207167658,10
115,ar-en,bl,True,0.1769411001664309,9
116,ar-en,bl,True,-1.096927742396879,9
117,ar-en,bl,False,-2.591517592177338,9
118,ar-en,bl,False,-2.4771090589719886,9
119,ar-en,bl,True,0.6790313683347415,9
120,ar-en,bl,False,-1.8718732885524174,9
121,ar-en,bl,True,-1.6519027468521712,9
122,ar-en,bl,True,-1.3279591488511013,9
123,ar-en,bl,True,0.49811114293373915,9
124,ar-en,bl,True,0.678502576587769,9
125,ar-en,bl,True,-1.5791685086002465,9
126,ar-en,bl,True,-0.7790943761167014,9
127,ar-en,bl,True,0.6423137319909811,9
128,ar-en,bl,True,0.15248837639967477,9
129,ar-en,bl,True,-0.9654340473162498,9
130,ar-en,bl,True,-1.5731457360723633,9
131,ar-en,bl,True,0.19008224865614146,9
132,ar-en,bl,True,0.5976800841142593,9
133,ar-en,bl,True,0.5034083378289945,9
134,ar-en,bl,True,-0.3475001684159895,9
135,ar-en,bl,True,0.6112103171351413,9
136,ar-en,bl,True,0.19797215262222692,9
137,ar-en,bl,True,0.5429371443701242,9
138,ar-en,bl,True,0.5450430126829929,9
139,ar-en,bl,True,0.001871834159622773,9
140,ar-en,bl,True,0.6366242645784198,9
141,ar-en,bl,True,-0.809871026522341,9
142,ar-en,bl,True,-0.08693968269015971,9
143,ar-en,bl,True,-1.071278514227814,9
144,ar-en,bl,True,0.15591356708413107,9
145,ar-en,bl,True,0.5835383902282337,9
146,ar-en,bl,True,0.5399342015007661,9
147,ar-en,bl,True,-1.3830333711515743,9
148,ar-en,bl,True,-1.2831164182925248,9
149,ar-en,bl,True,-1.829547726817712,9
150,ar-en,bl,True,0.05097279425459386,9
