SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26,ANNOTATOR_27
1,ar-en,fl,10,62.0,nan,91.0,nan,75.0,95.0,84.0,nan,49.0,nan,69.0,nan,nan,nan,nan,nan,nan,25.0,25.0,95.0,nan,nan,nan,nan,nan,nan,nan
2,ar-en,fl,10,67.0,nan,91.0,nan,76.0,94.0,83.0,nan,49.0,nan,66.0,nan,nan,nan,nan,nan,nan,24.0,50.0,78.0,nan,nan,nan,nan,nan,nan,nan
3,ar-en,fl,10,27.0,nan,88.0,nan,68.0,90.0,72.0,nan,42.0,nan,59.0,nan,nan,nan,nan,nan,nan,0.0,25.0,43.0,nan,nan,nan,nan,nan,nan,nan
4,ar-en,fl,10,100.0,nan,96.0,nan,74.0,93.0,86.0,nan,100.0,nan,100.0,nan,nan,nan,nan,nan,nan,7.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
5,ar-en,fl,10,100.0,nan,100.0,nan,86.0,99.0,100.0,nan,100.0,nan,100.0,nan,nan,nan,nan,nan,nan,45.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
6,ar-en,fl,10,100.0,nan,100.0,nan,81.0,99.0,100.0,nan,100.0,nan,100.0,nan,nan,nan,nan,nan,nan,48.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
7,ar-en,fl,10,100.0,nan,97.0,nan,90.0,100.0,100.0,nan,100.0,nan,100.0,nan,nan,nan,nan,nan,nan,52.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
8,ar-en,fl,10,100.0,nan,78.0,nan,87.0,100.0,86.0,nan,90.0,nan,90.0,nan,nan,nan,nan,nan,nan,24.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan
9,ar-en,fl,10,80.0,nan,90.0,nan,68.0,96.0,83.0,nan,63.0,nan,82.0,nan,nan,nan,nan,nan,nan,12.0,75.0,100.0,nan,nan,nan,nan,nan,nan,nan
10,ar-en,fl,10,100.0,nan,88.0,nan,68.0,96.0,55.0,nan,38.0,nan,96.0,nan,nan,nan,nan,nan,nan,7.0,76.0,100.0,nan,nan,nan,nan,nan,nan,nan
