SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26,ANNOTATOR_27
1,ar-en,fl,10,-1.420165491649333,nan,0.08696411045709003,nan,-0.8874492205722415,0.3579157372570767,-0.036618779276369126,nan,-1.3080641495935235,nan,-1.81749188538195,nan,nan,nan,nan,nan,nan,-0.9086591219071823,-1.5653397968079241,0.32740267183718447,nan,nan,nan,nan,nan,nan,nan
2,ar-en,fl,10,-1.1394169675555956,nan,0.08696411045709003,nan,-0.7567897872226841,0.29333338662242564,-0.08998870226426839,nan,-1.3080641495935235,nan,-2.066750246528567,nan,nan,nan,nan,nan,nan,-0.9508609969449615,-0.7955687643532033,-0.3208623780710112,nan,nan,nan,nan,nan,nan,nan
3,ar-en,fl,10,-3.385405160305494,nan,-0.21503092134669313,nan,-1.8020652540191435,0.03500398408382139,-0.6770578551311601,nan,-1.6296350325230289,nan,-2.648353089204008,nan,nan,nan,nan,nan,nan,-1.9637059978516611,-1.5653397968079241,-1.6555257161172965,nan,nan,nan,nan,nan,nan,nan
4,ar-en,fl,10,0.7135232914630706,nan,0.5902891634633953,nan,-1.018108653921799,0.22875103598777458,0.07012106669942937,nan,1.0348094260357301,nan,0.7581778464664295,nan,nan,nan,nan,nan,nan,-1.668292872587207,0.7439733005562382,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
5,ar-en,fl,10,0.7135232914630706,nan,0.9929492058684395,nan,0.54980454627289,0.616245139795681,0.817299988530019,nan,1.0348094260357301,nan,0.7581778464664295,nan,nan,nan,nan,nan,nan,-0.06462162115159932,0.7439733005562382,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
6,ar-en,fl,10,0.7135232914630706,nan,0.9929492058684395,nan,-0.10349262047489706,0.616245139795681,0.817299988530019,nan,1.0348094260357301,nan,0.7581778464664295,nan,nan,nan,nan,nan,nan,0.06198400396173813,0.7439733005562382,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
7,ar-en,fl,10,0.7135232914630706,nan,0.6909541740646563,nan,1.0724422796711197,0.6808274904303321,0.817299988530019,nan,1.0348094260357301,nan,0.7581778464664295,nan,nan,nan,nan,nan,nan,0.23079150411285473,0.7439733005562382,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
8,ar-en,fl,10,0.7135232914630706,nan,-1.2216810273593037,nan,0.6804639796224474,0.6808274904303321,0.07012106669942937,nan,0.575422450422151,nan,-0.07268335735562839,nan,nan,nan,nan,nan,nan,-0.9508609969449615,0.7439733005562382,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
9,ar-en,fl,10,-0.40947080491187865,nan,-0.013700900144171026,nan,-1.8020652540191435,0.42249808789172777,-0.08998870226426839,nan,-0.6649223837345127,nan,-0.7373723204132747,nan,nan,nan,nan,nan,nan,-1.4572834973983113,-0.02579773189848256,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
10,ar-en,fl,10,0.7135232914630706,nan,-0.21503092134669313,nan,-1.8020652540191435,0.42249808789172777,-1.5843465459254475,nan,-1.8133898227684606,nan,0.4258333649376063,nan,nan,nan,nan,nan,nan,-1.668292872587207,0.004993109399706273,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
11,ar-en,fl,10,-1.0832672627368483,nan,0.28829413165961215,nan,-0.8874492205722415,-0.1587430678201318,-1.530976622937548,nan,-1.9052672178911765,nan,-1.2358890427065095,nan,nan,nan,nan,nan,nan,-1.2884759972471949,-1.5653397968079241,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
12,ar-en,fl,10,0.7135232914630706,nan,0.8922841952671784,nan,-0.7567897872226841,0.616245139795681,0.817299988530019,nan,1.0348094260357301,nan,0.7581778464664295,nan,nan,nan,nan,nan,nan,1.2014346299817753,0.7439733005562382,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
13,ar-en,fl,10,0.7135232914630706,nan,0.9929492058684395,nan,-0.6261303538731267,0.616245139795681,0.817299988530019,nan,1.0348094260357301,nan,0.7581778464664295,nan,nan,nan,nan,nan,nan,0.8216177546417629,0.7439733005562382,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
14,ar-en,fl,10,0.7135232914630706,nan,0.9929492058684395,nan,0.6804639796224474,0.616245139795681,0.817299988530019,nan,1.0348094260357301,nan,0.7581778464664295,nan,nan,nan,nan,nan,nan,0.6528102544906462,0.7439733005562382,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
15,ar-en,fl,10,0.7135232914630706,nan,0.9929492058684395,nan,0.54980454627289,0.616245139795681,0.817299988530019,nan,1.0348094260357301,nan,0.7581778464664295,nan,nan,nan,nan,nan,nan,1.159232754943996,0.7439733005562382,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
16,ar-en,fl,10,0.7135232914630706,nan,0.9929492058684395,nan,0.8111234129720049,0.616245139795681,0.17686091267522788,nan,1.0348094260357301,nan,0.7581778464664295,nan,nan,nan,nan,nan,nan,0.8638196296795421,0.7439733005562382,0.5180688629866538,nan,nan,nan,nan,nan,nan,nan
