SEGID,LANGPAIR,ANNOTYPE,BINLABEL,MEANSCORE,NUMANNOT
1,ar-en,fl,True,-0.7171505925637173,10
2,ar-en,fl,True,-0.70480044954543,10
3,ar-en,fl,True,-1.5507114839222589,10
4,ar-en,fl,True,0.19713124671497156,10
5,ar-en,fl,True,0.6680229986823553,10
6,ar-en,fl,True,0.6153538445189103,10
7,ar-en,fl,True,0.7260868164317105,10
8,ar-en,fl,True,0.1737175060520429,10
9,ar-en,fl,True,-0.42600346439056613,10
10,ar-en,fl,True,-0.49982086999681874,10
11,ar-en,fl,True,-0.8849045234073308,10
12,ar-en,fl,True,0.6539026893860092,10
13,ar-en,fl,True,0.6390534462470898,10
14,ar-en,fl,True,0.7528321295815357,10
15,ar-en,fl,True,0.7904084362919147,10
16,ar-en,fl,True,0.7229551028499018,10
17,ar-en,fl,True,-0.018890297370648224,10
18,ar-en,fl,True,0.6243613768595637,10
19,ar-en,fl,True,0.47517633324186315,10
20,ar-en,fl,True,-0.9376198500050947,10
21,ar-en,fl,True,0.5432606182329685,10
22,ar-en,fl,True,0.5907473105172991,10
23,ar-en,fl,True,-0.2797395432621833,10
24,ar-en,fl,True,0.6559295935041192,10
25,ar-en,fl,True,0.44945055629308966,10
26,ar-en,fl,True,0.7714961794006108,10
27,ar-en,fl,True,0.43454055823818666,10
28,ar-en,fl,True,-0.015371717072673763,10
29,ar-en,fl,True,-1.0545335189553156,10
30,ar-en,fl,True,-1.3470298400200926,10
31,ar-en,fl,True,-0.4658710157502027,10
32,ar-en,fl,True,-0.09188323500455683,10
33,ar-en,fl,True,0.041295184020910446,9
34,ar-en,fl,True,-0.35856899301625106,9
35,ar-en,fl,True,0.8722845719532472,9
36,ar-en,fl,True,0.06329932771692798,9
37,ar-en,fl,True,0.8715417061999448,9
38,ar-en,fl,True,0.8496820933038932,9
39,ar-en,fl,True,0.5992752403164698,9
40,ar-en,fl,True,0.8474861687900002,9
41,ar-en,fl,True,0.8287314275033947,9
42,ar-en,fl,True,0.8256265558939487,9
43,ar-en,fl,True,0.09893477888088237,9
44,ar-en,fl,True,-0.7979914542215893,9
45,ar-en,fl,True,-0.02972160415212311,9
46,ar-en,fl,True,-0.623727496656067,9
47,ar-en,fl,True,0.9088897416951698,9
48,ar-en,fl,True,-0.03301703261855027,9
49,ar-en,fl,True,0.33989882572325075,9
50,ar-en,fl,True,-0.15508127425855017,9
51,ar-en,fl,True,-0.8706174637154197,9
52,ar-en,fl,True,0.6982998361830908,9
53,ar-en,fl,True,0.20085254707771283,9
54,ar-en,fl,True,0.8836974151604187,9
55,ar-en,fl,True,0.8329684539733828,9
56,ar-en,fl,True,0.21121226198904988,9
57,ar-en,fl,True,-1.20850167038133,9
58,ar-en,fl,True,0.5290463814834941,9
59,ar-en,fl,True,-0.7520839518925596,9
60,ar-en,fl,True,-0.2721345116932581,9
61,ar-en,fl,True,0.4089388097907999,9
62,ar-en,fl,True,0.26017771432246634,9
63,ar-en,fl,True,-0.0739449804955537,9
64,ar-en,fl,True,-0.6679865261053953,9
65,ar-en,fl,True,-0.5781146959304833,9
66,ar-en,fl,True,0.771989219491766,9
67,ar-en,fl,True,0.8136786021122266,9
68,ar-en,fl,True,0.7032316030741298,9
69,ar-en,fl,True,-0.11171151002851719,9
70,ar-en,fl,True,0.5419890760083628,9
71,ar-en,fl,True,0.29208203088533075,10
72,ar-en,fl,True,0.19272685362503578,10
73,ar-en,fl,True,-0.2783985342792167,10
74,ar-en,fl,True,-1.1565156458166292,10
75,ar-en,fl,True,0.7884442456005376,10
76,ar-en,fl,True,-0.2909513557261981,10
77,ar-en,fl,True,-1.5025671058707442,10
78,ar-en,fl,True,0.3622534177247821,10
79,ar-en,fl,True,-0.9416495779793369,10
80,ar-en,fl,True,0.36422826982918355,10
81,ar-en,fl,True,0.7261586249291619,10
82,ar-en,fl,True,0.432936997821864,10
83,ar-en,fl,True,-0.7727596557070748,10
84,ar-en,fl,True,0.7323884669802896,10
85,ar-en,fl,True,-1.0512507227036954,10
86,ar-en,fl,True,0.44071788026142944,10
87,ar-en,fl,True,-0.717340277559964,10
88,ar-en,fl,True,-1.1476483368711226,10
89,ar-en,fl,True,-1.5023683839670163,10
90,ar-en,fl,True,0.6152251816252573,10
91,ar-en,fl,True,0.7652613045882989,10
92,ar-en,fl,True,-0.6747837241657498,10
93,ar-en,fl,True,0.7329995511300403,10
94,ar-en,fl,True,-1.0238670891553088,10
95,ar-en,fl,True,0.7806238023132421,10
96,ar-en,fl,True,-0.28764880458265446,10
97,ar-en,fl,True,-0.9001902143797669,10
98,ar-en,fl,True,-1.283381851786276,10
99,ar-en,fl,True,-1.351420274410843,10
100,ar-en,fl,True,-0.38713531389656036,10
101,ar-en,fl,True,-1.2998309665778103,10
102,ar-en,fl,True,0.1786504678762076,10
103,ar-en,fl,True,-0.7416627147064718,10
104,ar-en,fl,True,-1.8466496850127858,10
105,ar-en,fl,True,0.6519813347652894,10
106,ar-en,fl,True,-0.9336135760084691,10
107,ar-en,fl,True,0.6354684746861198,10
108,ar-en,fl,True,0.5615306303191522,10
109,ar-en,fl,True,0.5317299435927896,10
110,ar-en,fl,True,-0.37221718785052466,10
111,ar-en,fl,True,-1.4086605821345104,10
112,ar-en,fl,True,0.6947882561005464,10
113,ar-en,fl,True,-1.0280355057615918,10
114,ar-en,fl,True,0.7109155056394967,10
115,ar-en,fl,True,-0.04038816207265996,9
116,ar-en,fl,True,-1.2819090984194337,9
117,ar-en,fl,True,-2.2449155795173836,9
118,ar-en,fl,False,-2.212956292627432,9
119,ar-en,fl,True,0.6732723977511862,9
120,ar-en,fl,True,-1.644760433355762,9
121,ar-en,fl,True,-1.81777220096005,9
122,ar-en,fl,True,-1.531369340845103,9
123,ar-en,fl,True,0.49126094331178116,9
124,ar-en,fl,True,0.6092491513703254,9
125,ar-en,fl,True,-1.3038169123266765,9
126,ar-en,fl,True,-0.22787057751145579,9
127,ar-en,fl,True,0.6613889056856833,9
128,ar-en,fl,True,0.19965493852524255,9
129,ar-en,fl,True,-1.3666100515594741,9
130,ar-en,fl,True,-1.6499889145480768,9
131,ar-en,fl,True,0.31518924590520186,9
132,ar-en,fl,True,0.5079094336866432,9
133,ar-en,fl,True,0.48265504752396826,9
134,ar-en,fl,True,-0.5323399010103288,9
135,ar-en,fl,True,0.6076235289100124,9
136,ar-en,fl,True,-0.24752785089923718,9
137,ar-en,fl,True,0.24517655145239015,9
138,ar-en,fl,True,0.6425930639653991,9
139,ar-en,fl,True,-0.10461358078400324,9
140,ar-en,fl,True,0.5967030249939549,9
141,ar-en,fl,True,-1.4123027801739976,9
142,ar-en,fl,True,0.47322742194593403,9
143,ar-en,fl,True,-1.2714932039924878,9
144,ar-en,fl,True,-0.2880100724143487,9
145,ar-en,fl,True,0.45480117635052036,9
146,ar-en,fl,True,0.02160893543333679,9
147,ar-en,fl,True,-1.7026127087030452,9
148,ar-en,fl,True,-1.4118370638852804,9
149,ar-en,fl,True,-2.1547344047911676,9
150,ar-en,fl,True,-0.10876369743786422,9
151,ar-en,fl,False,-2.637077163700351,9
152,ar-en,fl,True,-0.1879093006657006,9
153,ar-en,fl,True,-0.9901691844598874,9
154,ar-en,fl,True,-0.20417919348491914,9
155,ar-en,fl,True,0.7085376565704252,9
156,ar-en,fl,True,-0.15103994073253402,9
157,ar-en,fl,True,0.33147079614444214,9
158,ar-en,fl,True,-0.8505783010157892,9
159,ar-en,fl,True,-0.6676904636747868,9
160,ar-en,fl,True,0.3410337115396462,8
161,ar-en,fl,True,-0.70750901498413,8
162,ar-en,fl,True,-1.2016358829602414,8
163,ar-en,fl,True,0.6831873838727607,8
164,ar-en,fl,True,-0.6910936110735713,8
165,ar-en,fl,True,-1.0138280755465954,8
166,ar-en,fl,True,-0.7206035625508957,8
167,ar-en,fl,True,-0.442018809034636,8
168,ar-en,fl,True,-0.699596173802908,8
169,ar-en,fl,True,-1.3443605656021136,8
170,ar-en,fl,True,0.2631195076748559,8
171,ar-en,fl,True,0.6714331481680639,8
172,ar-en,fl,True,0.7353606460996063,8
173,ar-en,fl,True,-0.06166374954783471,8
174,ar-en,fl,True,-0.06576228700960131,8
175,ar-en,fl,True,-1.2389696121082163,8
176,ar-en,fl,True,-0.5853523470036283,8
177,ar-en,fl,True,0.7898313696563759,8
178,ar-en,fl,True,-0.7949289538899459,8
179,ar-en,fl,True,-0.12890022110642224,8
180,ar-en,fl,True,-0.9089138098706664,8
181,ar-en,fl,True,-0.3508650710485477,8
182,ar-en,fl,True,0.43884538870669354,8
183,ar-en,fl,True,0.8229969320782355,8
184,ar-en,fl,True,-0.2750435848318714,8
185,ar-en,fl,True,0.3295608298527492,8
186,ar-en,fl,True,0.6977626014716938,8
187,ar-en,fl,True,0.7381278406380873,8
188,ar-en,fl,True,0.8251428732100092,8
189,ar-en,fl,True,0.7980145534317706,8
190,ar-en,fl,True,-0.12257543298835655,8
191,ar-en,fl,True,0.4540157742372292,8
192,ar-en,fl,True,-1.02910030289067,8
193,ar-en,fl,True,-0.8722715405381701,8
194,ar-en,fl,True,-0.5350035932846507,8
195,ar-en,fl,True,0.7519025514204885,8
196,ar-en,fl,True,0.09883705266630946,8
197,ar-en,fl,True,-0.7514673046080709,8
198,ar-en,fl,True,-0.792972348208501,8
199,ar-en,fl,True,0.8443064594451319,8
200,ar-en,fl,True,0.04927789717606849,9
201,ar-en,fl,True,0.5245197373647403,9
202,ar-en,fl,True,-0.8418187903062059,9
203,ar-en,fl,True,0.8407627985484087,9
204,ar-en,fl,True,0.8407627985484087,9
205,ar-en,fl,True,-0.7383858797774354,9
206,ar-en,fl,True,0.5421104452849393,9
207,ar-en,fl,True,-0.8219902781968934,9
208,ar-en,fl,True,-0.8095905505862443,9
209,ar-en,fl,True,-0.4787144868148665,9
210,ar-en,fl,True,-0.541850196402899,9
211,ar-en,fl,True,-0.47310695661982294,9
212,ar-en,fl,True,-1.4209656710443197,9
213,ar-en,fl,True,0.27487954882256,9
214,ar-en,fl,True,-0.7451729739296516,9
215,ar-en,fl,True,-1.1871433754161624,9
216,ar-en,fl,True,-1.6321190796131089,9
217,ar-en,fl,True,-1.4869680200737696,9
218,ar-en,fl,True,-0.2918253541543579,9
219,ar-en,fl,True,-0.44308901306291354,9
220,ar-en,fl,True,-0.14890235297387788,9
221,ar-en,fl,True,0.10020191900813037,9
222,ar-en,fl,True,-0.20673846989930608,9
223,ar-en,fl,True,-1.5007467536449413,9
224,ar-en,fl,True,0.8335869818112253,9
225,ar-en,fl,True,0.48365583045907534,9
226,ar-en,fl,True,-0.011859015656058612,9
227,ar-en,fl,True,0.036922731603094144,9
228,ar-en,fl,True,-1.2629787793206007,9
229,ar-en,fl,True,-0.8386576372149134,9
230,ar-en,fl,True,0.2911051727724032,9
231,ar-en,fl,True,-0.20072781479911248,9
232,ar-en,fl,True,-0.15064374889470994,9
233,ar-en,fl,True,0.8224019806333074,9
234,ar-en,fl,True,0.8447719829891431,9
235,ar-en,fl,True,0.7692008560210191,9
236,ar-en,fl,True,0.07301171417453528,9
237,ar-en,fl,True,0.19687321402337277,9
238,ar-en,fl,True,0.5937859846871175,9
239,ar-en,fl,True,-0.24039129194469458,9
240,ar-en,fl,True,0.37250871944493963,9
241,ar-en,fl,True,0.720491942987265,9
242,ar-en,fl,True,0.5772951248601547,9
243,ar-en,fl,True,0.7340941605159029,9
244,ar-en,fl,True,-0.41540067055812757,9
245,ar-en,fl,True,0.19540126475159264,9
246,ar-en,fl,True,0.5342189575934019,9
247,ar-en,fl,True,0.6795359497844021,9
248,ar-en,fl,True,-0.531510042047719,9
249,ar-en,fl,True,-0.407928609947431,9
250,ar-en,fl,True,0.5124880284766234,9
251,ar-en,fl,True,0.28462085942383797,9
252,ar-en,fl,True,-0.34226762534711863,9
253,ar-en,fl,True,0.47821929828135573,9
254,ar-en,fl,True,0.4167597945990929,9
255,ar-en,fl,True,0.0514833591423641,9
256,ar-en,fl,True,0.5565644188406478,9
257,ar-en,fl,True,0.5790457347218467,9
258,ar-en,fl,True,0.5145277395437647,9
259,ar-en,fl,True,-0.19884202372723933,9
260,ar-en,fl,True,0.0658832241408444,9
261,ar-en,fl,True,0.03220335212326954,9
262,ar-en,fl,True,0.6910114430567231,9
263,ar-en,fl,True,-0.21713849168778854,9
264,ar-en,fl,True,0.1135519058094763,9
265,ar-en,fl,True,-0.8580309494358127,9
266,ar-en,fl,True,-1.0965087695704347,9
267,ar-en,fl,True,0.04011384098337878,9
268,ar-en,fl,True,0.5760061509608229,9
269,ar-en,fl,True,0.5414526226084342,9
270,ar-en,fl,True,-0.3426653154352392,9
271,ar-en,fl,True,0.5823796916723728,9
272,ar-en,fl,True,0.5562331486923571,9
273,ar-en,fl,True,0.41679515586703964,9
274,ar-en,fl,True,0.23020754538741325,9
275,ar-en,fl,True,0.46311111806488753,9
276,ar-en,fl,True,-0.81553631467465,9
277,ar-en,fl,True,0.09222464592887913,9
278,ar-en,fl,True,0.6446645391255161,9
279,ar-en,fl,True,-0.13864608260748135,9
280,ar-en,fl,True,0.15859510956766038,9
281,ar-en,fl,True,0.5524097817570982,9
282,ar-en,fl,True,0.5746228907463827,9
283,ar-en,fl,True,0.5713870581923575,9
284,ar-en,fl,True,0.02299994556060119,9
285,ar-en,fl,True,0.5489881316975972,9
286,ar-en,fl,True,0.530529189385995,9
287,ar-en,fl,True,0.7164827585465307,9
288,ar-en,fl,True,-0.21144547348961282,9
289,ar-en,fl,True,-0.4966652946030151,9
290,ar-en,fl,True,0.6796340741809028,9
291,ar-en,fl,True,0.40612540880809045,10
292,ar-en,fl,True,-0.44298828815708935,10
293,ar-en,fl,True,-1.1139786808108034,10
294,ar-en,fl,True,-0.14062495827913107,10
295,ar-en,fl,True,-0.34470966268477937,10
296,ar-en,fl,True,-0.050627562187872385,10
297,ar-en,fl,True,-1.319604671042615,10
298,ar-en,fl,True,0.6933738881798075,10
299,ar-en,fl,True,-1.6547819076996937,10
300,ar-en,fl,True,-0.466733928517994,10
301,ar-en,fl,True,-0.8606499909187619,10
302,ar-en,fl,True,-1.6801407729923183,10
303,ar-en,fl,True,-0.2627751632979615,10
304,ar-en,fl,True,0.6668874704755422,10
305,ar-en,fl,True,0.8189080739840062,10
306,ar-en,fl,True,-0.05213674358473652,10
307,ar-en,fl,True,0.5598795788800449,10
308,ar-en,fl,True,0.714369984103615,10
309,ar-en,fl,True,-0.25431193184108414,10
310,ar-en,fl,True,0.11878658151236901,10
311,ar-en,fl,True,0.8319740173189618,10
312,ar-en,fl,True,-1.2958545218384319,8
313,ar-en,fl,True,0.2356650782983664,8
314,ar-en,fl,True,0.7030815019599932,8
315,ar-en,fl,True,0.13459829645795196,8
316,ar-en,fl,True,-0.43940399609910924,8
317,ar-en,fl,True,-0.4627543113729953,8
318,ar-en,fl,True,0.5773039856805151,8
319,ar-en,fl,True,0.0342431273792483,8
320,ar-en,fl,True,-0.5497411920605911,8
321,ar-en,fl,True,0.4933080113251644,8
322,ar-en,fl,True,-1.073495994628944,8
323,ar-en,fl,True,-0.6578496161294958,8
324,ar-en,fl,True,-0.2444758170404453,8
325,ar-en,fl,True,0.728312865516296,8
326,ar-en,fl,True,0.1772733419962731,8
327,ar-en,fl,True,0.5042332030151568,8
328,ar-en,fl,True,0.39920578582915955,8
329,ar-en,fl,True,-0.11389346747175383,8
330,ar-en,fl,True,-0.15511240506956087,8
331,ar-en,fl,True,0.631811615125561,8
332,ar-en,fl,True,0.059632083152681314,8
333,ar-en,fl,True,0.5098173084783072,8
334,ar-en,fl,True,-0.8076924462833093,8
335,ar-en,fl,True,-0.4071565099154806,8
336,ar-en,fl,True,-0.18858892726986626,8
337,ar-en,fl,True,-0.3057450777313886,8
338,ar-en,fl,True,-0.23810620227763168,8
339,ar-en,fl,True,0.17524533827075284,8
340,ar-en,fl,True,0.5952817001488775,8
341,ar-en,fl,True,-0.45500561437727904,8
342,ar-en,fl,True,-0.6711716384362716,8
343,ar-en,fl,True,-0.5998579304250813,8
344,ar-en,fl,True,0.2520181489576015,8
345,ar-en,fl,True,0.5228418851758887,8
346,ar-en,fl,True,0.5312203278576317,8
347,ar-en,fl,True,0.5147822335101471,8
348,ar-en,fl,True,-0.530785330046196,8
349,ar-en,fl,True,-0.40260166032310785,8
350,ar-en,fl,True,-0.986663759672491,8
351,ar-en,fl,True,-0.8184218699688947,8
352,ar-en,fl,True,-1.2718948931560707,8
353,ar-en,fl,True,0.3757343169586531,8
354,ar-en,fl,True,-0.4483021520562186,8
355,ar-en,fl,True,0.5895420035180098,8
356,ar-en,fl,True,0.5908129535530858,8
357,ar-en,fl,True,0.1273090944871775,8
358,ar-en,fl,True,0.5713564984416504,8
359,ar-en,fl,True,-0.006224184128253124,8
360,ar-en,fl,True,0.5614117784334018,8
361,ar-en,fl,True,0.8120046757854811,8
362,ar-en,fl,True,0.5543617554983231,8
363,ar-en,fl,True,0.21868183789820522,8
364,ar-en,fl,True,0.12012771435382587,8
365,ar-en,fl,True,0.23107862641208346,8
366,ar-en,fl,True,0.5898196902690322,8
367,ar-en,fl,True,0.3475471622905925,8
368,ar-en,fl,True,0.6066855818749429,8
369,ar-en,fl,True,-0.07287681846257277,8
370,ar-en,fl,True,0.5807666105339766,8
371,ar-en,fl,True,0.4855422933639474,8
372,ar-en,fl,True,0.5689080731560527,8
373,ar-en,fl,True,0.48032190773981115,8
374,ar-en,fl,True,0.5848467761044309,8
375,ar-en,fl,True,-0.6250744446796925,8
376,ar-en,fl,True,0.5980293060844413,8
377,ar-en,fl,True,0.05948967856631071,8
378,ar-en,fl,True,-0.030517807157811078,8
379,ar-en,fl,True,-0.5293021396373218,8
380,ar-en,fl,True,-0.5115398952266093,8
381,ar-en,fl,True,0.7762931091446559,8
382,ar-en,fl,True,0.4644674724993036,8
383,ar-en,fl,True,0.16652946195076637,8
384,ar-en,fl,True,-0.1832114732665424,8
385,ar-en,fl,True,-0.31647596288317603,8
386,ar-en,fl,True,0.7798495965852819,8
387,ar-en,fl,True,-0.8248207206596729,8
388,ar-en,fl,True,-0.7151108495266698,8
389,ar-en,fl,True,0.4681031964977206,8
390,ar-en,fl,True,-0.4143118211288981,8
391,ar-en,fl,True,-0.9794457023907115,8
392,ar-en,fl,True,0.7374191442575173,8
393,ar-en,fl,True,-0.15567480458702648,8
394,ar-en,fl,True,-0.37131959001989706,8
395,ar-en,fl,True,-0.11633366473359452,8
396,ar-en,fl,True,0.20387113780471103,8
397,ar-en,fl,True,0.6802911604603824,8
398,ar-en,fl,True,0.6530860745615171,8
399,ar-en,fl,True,0.5506641154932415,8
400,ar-en,fl,True,0.7571634576394242,8
401,ar-en,fl,True,-0.6453706804236341,8
402,ar-en,fl,True,-0.21940938902719326,8
403,ar-en,fl,True,-0.6936686246620594,8
404,ar-en,fl,True,0.49672557707065534,8
405,ar-en,fl,True,0.7135381887042561,8
406,ar-en,fl,True,-1.3711531138429247,8
407,ar-en,fl,True,0.45011286163208875,8
408,ar-en,fl,True,0.34431183132040155,8
409,ar-en,fl,True,0.6443609190104795,8
410,ar-en,fl,True,0.6485444479001021,8
411,ar-en,fl,True,0.24579908676697354,8
412,ar-en,fl,True,-0.8867827639245374,10
413,ar-en,fl,True,0.39403483870287886,10
414,ar-en,fl,True,0.746519750770154,10
415,ar-en,fl,True,0.2749702736359261,10
416,ar-en,fl,True,0.814120966123508,10
417,ar-en,fl,True,-0.9035459501959942,10
418,ar-en,fl,True,-1.7094454700126893,10
