SEGID,LANGPAIR,ANNOTYPE,BINLABEL,MEANSCORE,NUMANNOT
1,ar-en,ml,False,1,0
2,ar-en,ml,False,1,0
3,ar-en,ml,False,1,0
4,ar-en,ml,False,1,0
5,ar-en,ml,False,1,0
6,ar-en,ml,False,1,0
7,ar-en,ml,False,1,0
8,ar-en,ml,False,1,0
9,ar-en,ml,True,1,0
10,ar-en,ml,False,1,0
11,ar-en,ml,False,1,0
12,ar-en,ml,False,1,0
13,ar-en,ml,False,1,0
14,ar-en,ml,False,1,0
15,ar-en,ml,False,1,0
16,ar-en,ml,False,1,0
17,ar-en,ml,False,1,0
18,ar-en,ml,False,1,0
19,ar-en,ml,False,1,0
20,ar-en,ml,False,1,0
21,ar-en,ml,False,1,0
22,ar-en,ml,False,1,0
23,ar-en,ml,False,1,0
24,ar-en,ml,False,1,0
25,ar-en,ml,False,1,0
26,ar-en,ml,False,1,0
27,ar-en,ml,False,1,0
28,ar-en,ml,False,1,0
29,ar-en,ml,False,1,0
30,ar-en,ml,False,1,0
31,ar-en,ml,False,1,0
32,ar-en,ml,False,1,0
33,ar-en,ml,False,1,0
34,ar-en,ml,False,1,0
35,ar-en,ml,False,1,0
36,ar-en,ml,False,1,0
37,ar-en,ml,False,1,0
38,ar-en,ml,False,1,0
39,ar-en,ml,False,1,0
40,ar-en,ml,False,1,0
41,ar-en,ml,False,1,0
42,ar-en,ml,False,1,0
43,ar-en,ml,False,1,0
44,ar-en,ml,False,1,0
45,ar-en,ml,False,1,0
46,ar-en,ml,False,1,0
47,ar-en,ml,False,1,0
48,ar-en,ml,False,1,0
49,ar-en,ml,False,1,0
50,ar-en,ml,False,1,0
51,ar-en,ml,False,1,0
52,ar-en,ml,False,1,0
53,ar-en,ml,True,1,0
54,ar-en,ml,False,1,0
55,ar-en,ml,False,1,0
56,ar-en,ml,False,1,0
57,ar-en,ml,False,1,0
58,ar-en,ml,False,1,0
59,ar-en,ml,False,1,0
60,ar-en,ml,False,1,0
61,ar-en,ml,False,1,0
62,ar-en,ml,False,1,0
63,ar-en,ml,False,1,0
64,ar-en,ml,False,1,0
65,ar-en,ml,False,1,0
66,ar-en,ml,False,1,0
67,ar-en,ml,False,1,0
68,ar-en,ml,False,1,0
69,ar-en,ml,False,1,0
70,ar-en,ml,False,1,0
71,ar-en,ml,False,1,0
72,ar-en,ml,False,1,0
73,ar-en,ml,False,1,0
74,ar-en,ml,False,1,0
75,ar-en,ml,False,1,0
76,ar-en,ml,False,1,0
77,ar-en,ml,False,1,0
78,ar-en,ml,False,1,0
79,ar-en,ml,False,1,0
80,ar-en,ml,False,1,0
81,ar-en,ml,False,1,0
82,ar-en,ml,False,1,0
83,ar-en,ml,False,1,0
84,ar-en,ml,False,1,0
85,ar-en,ml,False,1,0
86,ar-en,ml,False,1,0
87,ar-en,ml,False,1,0
88,ar-en,ml,False,1,0
89,ar-en,ml,False,1,0
90,ar-en,ml,False,1,0
91,ar-en,ml,False,1,0
92,ar-en,ml,False,1,0
93,ar-en,ml,False,1,0
94,ar-en,ml,False,1,0
95,ar-en,ml,False,1,0
96,ar-en,ml,False,1,0
97,ar-en,ml,False,1,0
98,ar-en,ml,False,1,0
99,ar-en,ml,False,1,0
