SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10
1,fa-en,ad,7,33.0,25.0,91.0,98.0,nan,74.0,30.0,nan,46.0,nan
2,fa-en,ad,7,74.0,99.0,91.0,91.0,nan,100.0,88.0,nan,81.0,nan
3,fa-en,ad,7,26.0,25.0,92.0,61.0,nan,100.0,62.0,nan,75.0,nan
4,fa-en,ad,7,72.0,25.0,89.0,54.0,nan,100.0,63.0,nan,51.0,nan
5,fa-en,ad,7,63.0,1.0,80.0,74.0,nan,75.0,59.0,nan,45.0,nan
6,fa-en,ad,7,29.0,1.0,84.0,92.0,nan,83.0,63.0,nan,49.0,nan
7,fa-en,ad,7,74.0,99.0,100.0,76.0,nan,99.0,100.0,nan,86.0,nan
8,fa-en,ad,7,100.0,100.0,100.0,99.0,nan,100.0,88.0,nan,92.0,nan
9,fa-en,ad,7,65.0,99.0,87.0,84.0,nan,25.0,77.0,nan,76.0,nan
10,fa-en,ad,7,74.0,100.0,100.0,92.0,nan,75.0,88.0,nan,50.0,nan
11,fa-en,ad,7,76.0,99.0,96.0,82.0,nan,96.0,93.0,nan,76.0,nan
12,fa-en,ad,7,100.0,100.0,100.0,77.0,nan,100.0,99.0,nan,91.0,nan
13,fa-en,ad,7,62.0,25.0,89.0,78.0,nan,86.0,86.0,nan,75.0,nan
14,fa-en,ad,7,75.0,99.0,100.0,88.0,nan,87.0,89.0,nan,76.0,nan
15,fa-en,ad,7,100.0,99.0,100.0,98.0,nan,100.0,96.0,nan,90.0,nan
16,fa-en,ad,7,74.0,99.0,93.0,94.0,nan,84.0,93.0,nan,75.0,nan
17,fa-en,ad,7,53.0,11.0,74.0,97.0,nan,100.0,66.0,nan,65.0,nan
18,fa-en,ad,7,53.0,99.0,100.0,98.0,nan,100.0,80.0,nan,79.0,nan
19,fa-en,ad,7,65.0,76.0,93.0,99.0,nan,100.0,90.0,nan,76.0,nan
20,fa-en,ad,7,62.0,96.0,93.0,99.0,nan,96.0,94.0,nan,76.0,nan
21,fa-en,ad,7,49.0,98.0,93.0,98.0,nan,98.0,97.0,nan,88.0,nan
22,fa-en,ad,7,47.0,25.0,93.0,96.0,nan,91.0,60.0,nan,81.0,nan
23,fa-en,ad,7,49.0,50.0,79.0,96.0,nan,74.0,72.0,nan,49.0,nan
24,fa-en,ad,7,47.0,75.0,37.0,76.0,nan,88.0,84.0,nan,74.0,nan
25,fa-en,ad,7,61.0,99.0,70.0,95.0,nan,75.0,92.0,nan,75.0,nan
26,fa-en,ad,7,48.0,99.0,85.0,90.0,nan,95.0,100.0,nan,75.0,nan
27,fa-en,ad,7,55.0,99.0,97.0,97.0,nan,92.0,95.0,nan,78.0,nan
28,fa-en,ad,7,50.0,63.0,81.0,95.0,nan,100.0,38.0,nan,70.0,nan
29,fa-en,ad,7,67.0,100.0,100.0,96.0,nan,100.0,76.0,nan,75.0,nan
30,fa-en,ad,7,76.0,75.0,64.0,98.0,nan,75.0,66.0,nan,75.0,nan
31,fa-en,ad,7,58.0,99.0,80.0,98.0,nan,100.0,95.0,nan,82.0,nan
32,fa-en,ad,7,39.0,4.0,78.0,96.0,nan,25.0,56.0,nan,25.0,nan
33,fa-en,ad,7,46.0,75.0,86.0,95.0,nan,94.0,89.0,nan,65.0,nan
34,fa-en,ad,7,24.0,25.0,83.0,97.0,nan,75.0,16.0,nan,56.0,nan
35,fa-en,ad,7,100.0,100.0,100.0,98.0,nan,100.0,88.0,nan,75.0,nan
36,fa-en,ad,7,39.0,75.0,83.0,94.0,nan,47.0,40.0,nan,72.0,nan
37,fa-en,ad,7,50.0,96.0,100.0,99.0,nan,100.0,100.0,nan,60.0,nan
38,fa-en,ad,7,47.0,99.0,100.0,97.0,nan,100.0,95.0,nan,62.0,nan
39,fa-en,ad,7,44.0,88.0,87.0,75.0,nan,97.0,33.0,nan,49.0,nan
40,fa-en,ad,7,100.0,100.0,100.0,98.0,nan,100.0,98.0,nan,68.0,nan
41,fa-en,ad,7,51.0,25.0,62.0,77.0,nan,26.0,61.0,nan,36.0,nan
42,fa-en,ad,7,100.0,99.0,89.0,100.0,nan,100.0,89.0,nan,57.0,nan
43,fa-en,ad,7,47.0,48.0,47.0,52.0,nan,25.0,39.0,nan,44.0,nan
44,fa-en,ad,7,50.0,75.0,61.0,98.0,nan,25.0,89.0,nan,51.0,nan
45,fa-en,ad,7,80.0,100.0,76.0,99.0,nan,100.0,100.0,nan,73.0,nan
46,fa-en,ad,7,59.0,89.0,81.0,98.0,nan,67.0,78.0,nan,64.0,nan
47,fa-en,ad,7,79.0,99.0,100.0,99.0,nan,99.0,100.0,nan,82.0,nan
48,fa-en,ad,7,59.0,75.0,63.0,88.0,nan,48.0,78.0,nan,55.0,nan
49,fa-en,ad,7,66.0,100.0,100.0,99.0,nan,100.0,83.0,nan,66.0,nan
50,fa-en,ad,7,45.0,9.0,36.0,57.0,nan,16.0,24.0,nan,29.0,nan
51,fa-en,ad,7,25.0,1.0,79.0,63.0,nan,34.0,22.0,nan,37.0,nan
52,fa-en,ad,7,63.0,99.0,88.0,100.0,nan,100.0,94.0,nan,75.0,nan
53,fa-en,ad,7,26.0,25.0,48.0,42.0,nan,27.0,56.0,nan,59.0,nan
54,fa-en,ad,7,100.0,99.0,100.0,99.0,nan,98.0,100.0,nan,87.0,nan
55,fa-en,ad,7,59.0,99.0,100.0,100.0,nan,100.0,100.0,nan,86.0,nan
56,fa-en,ad,7,51.0,25.0,64.0,72.0,nan,15.0,28.0,nan,40.0,nan
57,fa-en,ad,7,60.0,99.0,64.0,96.0,nan,87.0,94.0,nan,67.0,nan
58,fa-en,ad,7,61.0,75.0,65.0,97.0,nan,85.0,81.0,nan,52.0,nan
59,fa-en,ad,7,31.0,75.0,75.0,94.0,nan,76.0,86.0,nan,47.0,nan
60,fa-en,ad,7,50.0,99.0,100.0,97.0,nan,99.0,91.0,nan,72.0,nan
61,fa-en,ad,7,52.0,99.0,76.0,98.0,nan,96.0,83.0,nan,72.0,nan
62,fa-en,ad,7,35.0,14.0,82.0,48.0,nan,35.0,34.0,nan,35.0,nan
63,fa-en,ad,7,58.0,99.0,78.0,94.0,nan,97.0,93.0,nan,76.0,nan
64,fa-en,ad,7,46.0,25.0,79.0,76.0,nan,75.0,57.0,nan,48.0,nan
65,fa-en,ad,7,46.0,90.0,92.0,97.0,nan,91.0,92.0,nan,65.0,nan
66,fa-en,ad,7,61.0,99.0,95.0,70.0,nan,100.0,100.0,nan,66.0,nan
67,fa-en,ad,7,78.0,93.0,76.0,99.0,nan,93.0,100.0,nan,78.0,nan
68,fa-en,ad,7,53.0,9.0,45.0,55.0,nan,19.0,16.0,nan,57.0,nan
69,fa-en,ad,7,47.0,75.0,83.0,65.0,nan,75.0,41.0,nan,60.0,nan
70,fa-en,ad,7,43.0,75.0,91.0,82.0,nan,74.0,33.0,nan,64.0,nan
71,fa-en,ad,7,49.0,90.0,100.0,71.0,77.0,nan,95.0,nan,62.0,nan
72,fa-en,ad,7,100.0,99.0,100.0,99.0,92.0,nan,100.0,nan,75.0,nan
73,fa-en,ad,7,57.0,99.0,99.0,87.0,90.0,nan,96.0,nan,75.0,nan
74,fa-en,ad,7,52.0,99.0,87.0,91.0,97.0,nan,78.0,nan,65.0,nan
75,fa-en,ad,7,63.0,99.0,100.0,99.0,98.0,nan,100.0,nan,78.0,nan
76,fa-en,ad,7,56.0,26.0,61.0,76.0,87.0,nan,33.0,nan,41.0,nan
77,fa-en,ad,7,62.0,89.0,80.0,99.0,75.0,nan,94.0,nan,64.0,nan
78,fa-en,ad,7,58.0,99.0,100.0,99.0,94.0,nan,100.0,nan,75.0,nan
79,fa-en,ad,7,73.0,25.0,68.0,89.0,92.0,nan,77.0,nan,49.0,nan
80,fa-en,ad,7,39.0,25.0,62.0,63.0,87.0,nan,57.0,nan,36.0,nan
81,fa-en,ad,7,85.0,99.0,92.0,98.0,96.0,nan,100.0,nan,76.0,nan
82,fa-en,ad,7,47.0,88.0,75.0,93.0,85.0,nan,95.0,nan,72.0,nan
83,fa-en,ad,7,37.0,75.0,65.0,48.0,86.0,nan,59.0,nan,56.0,nan
84,fa-en,ad,7,47.0,76.0,82.0,82.0,88.0,nan,80.0,nan,69.0,nan
