SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10
1,fa-en,ad,7,-0.6147372726632047,-1.5078329784843458,0.82644582795351,0.8234621962909943,nan,0.19655742577640536,-1.493136591031787,nan,-0.5602893778503902,nan
2,fa-en,ad,7,1.0864943202345643,0.8682998962424022,0.82644582795351,0.5092111452689924,nan,1.1003249203978176,0.7387216574459086,nan,1.2015286061751247,nan
3,fa-en,ad,7,-0.9051914470603848,-1.5078329784843458,0.8808928173633503,-0.8375790733967301,nan,1.1003249203978176,-0.26176652290616187,nan,0.8995026660564651,nan
4,fa-en,ad,7,1.0035074132639412,-1.5078329784843458,0.7175518491338292,-1.1518301244187321,nan,1.1003249203978176,-0.22328620827723608,nan,-0.3086010944181738,nan
5,fa-en,ad,7,0.6300663318961384,-2.2784706675849127,0.22752894444526559,-0.2539699786415837,nan,0.23131771403107507,-0.3772074667929392,nan,-0.6106270345368335,nan
6,fa-en,ad,7,-0.7807110866044504,-2.2784706675849127,0.44531690208462715,0.5541041525578497,nan,0.5094000200684327,-0.22328620827723608,nan,-0.4092764077910604,nan
7,fa-en,ad,7,1.0864943202345643,0.8682998962424022,1.3164687326420734,-0.1641839640638689,nan,1.0655646321431478,1.200485432993018,nan,1.4532168896073412,nan
8,fa-en,ad,7,2.1653241108526617,0.9004097999549259,1.3164687326420734,0.8683552035798517,nan,1.1003249203978176,0.7387216574459086,nan,1.755242829726001,nan
9,fa-en,ad,7,0.7130532388667613,0.8682998962424022,0.6086578703141483,0.19496009424699046,nan,-1.50669669870241,0.3154381965277249,nan,0.9498403227429083,nan
10,fa-en,ad,7,1.0864943202345643,0.9004097999549259,1.3164687326420734,0.5541041525578497,nan,0.23131771403107507,0.7387216574459086,nan,-0.3589387511046171,nan
11,fa-en,ad,7,1.169481227205187,0.8682998962424022,1.0986807750027119,0.10517407966927561,nan,0.9612837673791388,0.9311232305905375,nan,0.9498403227429083,nan
12,fa-en,ad,7,2.1653241108526617,0.9004097999549259,1.3164687326420734,-0.11929095677501148,nan,1.1003249203978176,1.1620051183640923,nan,1.7049051730395577,nan
13,fa-en,ad,7,0.588572878410827,-1.5078329784843458,0.7175518491338292,-0.07439794948615405,nan,0.6136808848324418,0.6617610281880569,nan,0.8995026660564651,nan
14,fa-en,ad,7,1.1279877737198756,0.8682998962424022,1.3164687326420734,0.3745321234024201,nan,0.6484411730871115,0.7772019720748343,nan,0.9498403227429083,nan
15,fa-en,ad,7,2.1653241108526617,0.8682998962424022,1.3164687326420734,0.8234621962909943,nan,1.1003249203978176,1.0465641744773149,nan,1.6545675163531144,nan
16,fa-en,ad,7,1.0864943202345643,0.8682998962424022,0.9353398067731907,0.6438901671355646,nan,0.5441603083231024,0.9311232305905375,nan,0.8995026660564651,nan
17,fa-en,ad,7,0.21513179704302404,-1.9573716304596764,-0.09915299201377678,0.7785691890021369,nan,1.1003249203978176,-0.10784526439045873,nan,0.39612609919203223,nan
18,fa-en,ad,7,0.21513179704302404,0.8682998962424022,1.3164687326420734,0.8234621962909943,nan,1.1003249203978176,0.43087914041450226,nan,1.1008532928022383,nan
19,fa-en,ad,7,0.7130532388667613,0.1297721108543589,0.9353398067731907,0.8683552035798517,nan,1.1003249203978176,0.8156822867037601,nan,0.9498403227429083,nan
20,fa-en,ad,7,0.588572878410827,0.7719701851048313,0.9353398067731907,0.8683552035798517,nan,0.9612837673791388,0.9696035452194632,nan,0.9498403227429083,nan
21,fa-en,ad,7,0.04915798310177829,0.8361899925298786,0.9353398067731907,0.8234621962909943,nan,1.0308043438884782,1.0850444891062405,nan,1.5538922029802278,nan
22,fa-en,ad,7,-0.03382892386884458,-1.5078329784843458,0.9353398067731907,0.7336761817132794,nan,0.7874823261057903,-0.33872715216401345,nan,1.2015286061751247,nan
23,fa-en,ad,7,0.04915798310177829,-0.7050853856712552,0.1730819550354252,0.7336761817132794,nan,0.19655742577640536,0.12303662338309597,nan,-0.4092764077910604,nan
24,fa-en,ad,7,-0.03382892386884458,0.09766220714183528,-2.1136916001778716,-0.1641839640638689,nan,0.6832014613417812,0.5848003989302054,nan,0.8491650093700218,nan
25,fa-en,ad,7,0.5470794249255155,0.8682998962424022,-0.31694094965313835,0.688783174424422,nan,0.23131771403107507,0.8926429159616117,nan,0.8995026660564651,nan
26,fa-en,ad,7,0.007664529616466852,0.8682998962424022,0.49976389149446754,0.46431813798013494,nan,0.9265234791244691,1.200485432993018,nan,0.8995026660564651,nan
27,fa-en,ad,7,0.29811870401364693,0.8682998962424022,1.1531277644125524,0.7785691890021369,nan,0.82224261436046,1.008083859848389,nan,1.050515636115795,nan
28,fa-en,ad,7,0.09065143658708973,-0.28765663740844816,0.281975933855106,0.688783174424422,nan,1.1003249203978176,-1.1852940740003808,nan,0.6478143826242486,nan
29,fa-en,ad,7,0.7960401458373841,0.9004097999549259,1.3164687326420734,0.7336761817132794,nan,1.1003249203978176,0.2769578818987991,nan,0.8995026660564651,nan
30,fa-en,ad,7,1.169481227205187,0.09766220714183528,-0.6436228861121808,0.8234621962909943,nan,0.23131771403107507,-0.10784526439045873,nan,0.8995026660564651,nan
31,fa-en,ad,7,0.42259906446958123,0.8682998962424022,0.22752894444526559,0.8234621962909943,nan,1.1003249203978176,1.008083859848389,nan,1.251866262861568,nan
32,fa-en,ad,7,-0.36577655175133605,-2.1821409564473417,0.11863496562558479,0.7336761817132794,nan,-1.50669669870241,-0.4926484106797166,nan,-1.6173801682656992,nan
