SEGID,LANGPAIR,ANNOTYPE,BINLABEL,MEANSCORE,NUMANNOT
1,fa-en,ad,False,-0.33279011000125974,7
2,fa-en,ad,True,0.9044323391026171,7
3,fa-en,ad,True,-0.09023565971856994,7
4,fa-en,ad,True,-0.052880888971842836,7
5,fa-en,ad,True,-0.34733745102625574,7
6,fa-en,ad,True,-0.31184618507810713,7
7,fa-en,ad,True,0.9751922771140968,7
8,fa-en,ad,True,1.2635496077998913,7
9,fa-en,ad,True,0.3062218457483608,7
10,fa-en,ad,True,0.6383682322516828,7
11,fa-en,ad,True,0.8691261855474516,7
12,fa-en,ad,True,1.1757352712108737,7
13,fa-en,ad,True,0.27126262552158853,7
14,fa-en,ad,True,0.8661102848445178,7
15,fa-en,ad,True,1.2821445067509114,7
16,fa-en,ad,True,0.8441157707651181,7
17,fa-en,ad,True,0.04654030268158554,7
18,fa-en,ad,True,0.8364885679761505,7
19,fa-en,ad,True,0.7874811271312355,7
20,fa-en,ad,True,0.8635665298871729,7
21,fa-en,ad,True,0.9019844306672555,7
22,fa-en,ad,True,0.25394826660716874,7
23,fa-en,ad,True,0.023021196506809807,7
24,fa-en,ad,True,-0.013839344475248769,7
25,fa-en,ad,True,0.544383548855479,7
26,fa-en,ad,True,0.6952225762153462,7
27,fa-en,ad,True,0.8541368091421975,7
28,fa-en,ad,True,0.19094273378283644,7
29,fa-en,ad,True,0.8604829040715349,7
30,fa-en,ad,True,0.3528511228889882,7
31,fa-en,ad,True,0.8145950206508595,7
32,fa-en,ad,False,-0.7589045197868056,7
33,fa-en,ad,True,0.47577502103615366,7
34,fa-en,ad,True,-0.4548611890900086,7
35,fa-en,ad,True,1.1348877262344066,7
36,fa-en,ad,True,-0.0478811958063171,7
37,fa-en,ad,True,0.7846705324377854,7
38,fa-en,ad,True,0.7547186861995253,7
39,fa-en,ad,True,-0.00493791846585373,7
40,fa-en,ad,True,1.139521947589286,7
41,fa-en,ad,True,-0.7261921575452098,7
42,fa-en,ad,True,0.9336251150386772,7
43,fa-en,ad,False,-0.9897781587626004,7
44,fa-en,ad,True,-0.11904054790964744,7
45,fa-en,ad,True,0.8876569625087898,7
46,fa-en,ad,True,0.3956676955534451,7
47,fa-en,ad,True,1.1235716783033118,7
48,fa-en,ad,True,-0.031760721769089985,7
49,fa-en,ad,True,0.8475555984437853,7
50,fa-en,ad,False,-1.469040610597681,7
51,fa-en,ad,False,-1.1154325960594507,7
52,fa-en,ad,True,0.8634500614864263,7
53,fa-en,ad,False,-1.064867103985542,7
54,fa-en,ad,True,1.2790417523560385,7
55,fa-en,ad,True,1.045162371529465,7
56,fa-en,ad,False,-0.9499684410358885,7
57,fa-en,ad,True,0.5112550420221712,7
58,fa-en,ad,True,0.23202164832237382,7
59,fa-en,ad,True,0.05957278590707008,7
60,fa-en,ad,True,0.8174580262780958,7
61,fa-en,ad,True,0.5901764243677954,7
62,fa-en,ad,False,-1.0128386114249543,7
63,fa-en,ad,True,0.7043473860629125,7
64,fa-en,ad,True,-0.3223888301948807,7
65,fa-en,ad,True,0.6056716761572079,7
66,fa-en,ad,True,0.6819064583190124,7
67,fa-en,ad,True,0.8448869671789669,7
68,fa-en,ad,False,-1.1921724316053446,7
69,fa-en,ad,True,-0.1282002069451765,7
70,fa-en,ad,True,-0.0008386288440692669,7
71,fa-en,ad,True,0.3256645584959489,7
72,fa-en,ad,True,1.1082366764268414,7
73,fa-en,ad,True,0.7281638094811667,7
74,fa-en,ad,True,0.5245843773931583,7
75,fa-en,ad,True,0.9658619465955999,7
76,fa-en,ad,True,-0.5972470621261976,7
