SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10
1,fa-en,bl,7,53.0,15.0,70.0,61.0,nan,15.0,40.0,nan,25.0,nan
2,fa-en,bl,7,59.0,98.0,100.0,43.0,nan,25.0,43.0,nan,52.0,nan
3,fa-en,bl,7,77.0,72.0,84.0,39.0,nan,74.0,57.0,nan,49.0,nan
4,fa-en,bl,7,70.0,98.0,92.0,96.0,nan,75.0,63.0,nan,73.0,nan
5,fa-en,bl,7,65.0,53.0,87.0,41.0,nan,47.0,46.0,nan,50.0,nan
6,fa-en,bl,7,38.0,25.0,74.0,37.0,nan,42.0,61.0,nan,59.0,nan
7,fa-en,bl,7,77.0,99.0,100.0,99.0,nan,100.0,70.0,nan,92.0,nan
8,fa-en,bl,7,76.0,100.0,100.0,100.0,nan,99.0,72.0,nan,93.0,nan
9,fa-en,bl,7,60.0,75.0,85.0,70.0,nan,35.0,24.0,nan,80.0,nan
10,fa-en,bl,7,77.0,99.0,87.0,60.0,nan,45.0,45.0,nan,76.0,nan
11,fa-en,bl,7,75.0,75.0,91.0,54.0,nan,73.0,62.0,nan,70.0,nan
12,fa-en,bl,7,81.0,100.0,100.0,99.0,nan,97.0,69.0,nan,94.0,nan
13,fa-en,bl,7,100.0,47.0,100.0,98.0,nan,97.0,77.0,nan,94.0,nan
14,fa-en,bl,7,100.0,99.0,100.0,98.0,nan,75.0,67.0,nan,83.0,nan
15,fa-en,bl,7,100.0,99.0,99.0,100.0,nan,96.0,73.0,nan,93.0,nan
16,fa-en,bl,7,85.0,99.0,100.0,33.0,nan,61.0,74.0,nan,80.0,nan
17,fa-en,bl,7,73.0,99.0,91.0,88.0,nan,76.0,67.0,nan,85.0,nan
18,fa-en,bl,7,70.0,99.0,100.0,98.0,nan,87.0,70.0,nan,94.0,nan
19,fa-en,bl,7,56.0,99.0,100.0,99.0,nan,93.0,71.0,nan,75.0,nan
20,fa-en,bl,7,51.0,100.0,100.0,99.0,nan,80.0,70.0,nan,76.0,nan
21,fa-en,bl,7,52.0,98.0,100.0,99.0,nan,70.0,68.0,nan,92.0,nan
22,fa-en,bl,7,52.0,25.0,100.0,67.0,nan,38.0,48.0,nan,87.0,nan
23,fa-en,bl,7,51.0,49.0,80.0,55.0,nan,46.0,42.0,nan,52.0,nan
24,fa-en,bl,7,76.0,1.0,80.0,54.0,nan,66.0,43.0,nan,73.0,nan
25,fa-en,bl,7,77.0,75.0,94.0,54.0,nan,33.0,70.0,nan,66.0,nan
26,fa-en,bl,7,100.0,48.0,100.0,100.0,nan,86.0,77.0,nan,94.0,nan
27,fa-en,bl,7,79.0,99.0,100.0,55.0,nan,72.0,73.0,nan,95.0,nan
28,fa-en,bl,7,71.0,75.0,91.0,51.0,nan,17.0,29.0,nan,56.0,nan
29,fa-en,bl,7,100.0,99.0,100.0,99.0,nan,75.0,61.0,nan,80.0,nan
30,fa-en,bl,7,77.0,99.0,100.0,96.0,nan,65.0,29.0,nan,67.0,nan
31,fa-en,bl,7,54.0,99.0,92.0,97.0,nan,76.0,47.0,nan,87.0,nan
32,fa-en,bl,7,45.0,0.0,100.0,43.0,nan,18.0,28.0,nan,45.0,nan
