SEGID,LANGPAIR,ANNOTYPE,SCORETYPE,MEANSCORE,NUMANNOT,ANNOTATOR_1,ANNOTATOR_2,ANNOTATOR_3,ANNOTATOR_4,ANNOTATOR_5,ANNOTATOR_6,ANNOTATOR_7,ANNOTATOR_8
1,fa-en,bl,zscore,-1.072340296867329,5,nan,-0.04665354711810342,-0.4564174816663275,-1.8457767604829198,-0.8381600073398844,nan,-2.1746936877294107,nan
2,fa-en,bl,zscore,0.03141536489553294,5,nan,0.22276898314601415,-1.181570118283784,-0.4892413847985357,0.9668252304735315,nan,0.6382941139404388,nan
3,fa-en,bl,zscore,-0.2380724926343262,5,nan,1.031036573938367,-1.342715148643219,-0.6399675376523561,0.00416643697304307,nan,-0.24288278778746586,nan
4,fa-en,bl,zscore,0.671988691090178,5,nan,0.7167102886302297,0.9536015339787273,0.5658416851782075,0.4854958337232873,nan,0.6382941139404388,nan
5,fa-en,bl,zscore,-0.41236628008696974,5,nan,0.49219151341013173,-1.2621426334635015,-0.5897254867010827,0.18466496075438465,nan,-0.8868197544347808,nan
6,fa-en,bl,zscore,-0.9428638736925713,5,nan,-0.7202098727783973,-1.4232876638229364,-0.13754702813962127,-0.5974953089647622,nan,-1.8357794947571395,nan
7,fa-en,bl,zscore,1.0529896595300543,5,nan,1.031036573938367,1.0744603067483034,1.5204406532524037,0.9668252304735315,nan,0.6721855332376659,nan
8,fa-en,bl,zscore,1.0688928540889222,5,nan,0.9861328188943472,1.114746564338162,1.5706827042036773,0.9668252304735315,nan,0.706076952534893,nan
9,fa-en,bl,zscore,0.20289833966811913,5,nan,0.26767273819003373,-0.09384116335759912,0.9175360418371219,0.0643326115668236,nan,-0.14120852989578456,nan
10,fa-en,bl,zscore,0.42155023334125186,5,nan,1.031036573938367,-0.4967037392561862,0.716567838032028,0.18466496075438465,nan,0.6721855332376659,nan
11,fa-en,bl,zscore,0.1804088881226197,5,nan,0.9412290638503277,-0.7384212847953384,0.415115532324387,0.42532965912950677,nan,-0.14120852989578456,nan
12,fa-en,bl,zscore,1.1157877678052248,5,nan,1.2106515941144453,1.0744603067483034,1.6209247551549506,0.9668252304735315,nan,0.706076952534893,nan
13,fa-en,bl,zscore,0.9191157409039203,5,nan,2.0638229399508177,1.0341740491584446,1.6209247551549506,0.9668252304735315,nan,-1.0901682702181434,nan
14,fa-en,bl,zscore,1.1610539895022804,5,nan,2.0638229399508177,1.0341740491584446,1.0682621946909423,0.9668252304735315,nan,0.6721855332376659,nan
15,fa-en,bl,zscore,1.2656193595220149,5,nan,2.0638229399508177,1.114746564338162,1.5706827042036773,0.906659055879751,nan,0.6721855332376659,nan
16,fa-en,bl,zscore,0.4724761451312943,5,nan,1.3902666142905236,-1.5844326941823712,0.9175360418371219,0.9668252304735315,nan,0.6721855332376659,nan
17,fa-en,bl,zscore,0.7497989031965615,5,nan,0.8514215537622885,0.6313114732598576,1.1687462965934894,0.42532965912950677,nan,0.6721855332376659,nan
18,fa-en,bl,zscore,1.0021639713309647,5,nan,0.7167102886302297,1.0341740491584446,1.6209247551549506,0.9668252304735315,nan,0.6721855332376659,nan
19,fa-en,bl,zscore,0.6935709151108421,5,nan,0.08805771801395537,1.0744603067483034,0.6663257870807545,0.9668252304735315,nan,0.6721855332376659,nan
