SEGID,LANGPAIR,ANNOTYPE,SCORETYPE,MEANSCORE,NUMANNOT,ANNOTATOR_1,ANNOTATOR_2,ANNOTATOR_3,ANNOTATOR_4,ANNOTATOR_5,ANNOTATOR_6,ANNOTATOR_7,ANNOTATOR_8
1,fa-en,fl,zscore,-1.2075353272660911,5,nan,-0.8682896895383846,-0.09395001221416976,-2.4548081119271865,-0.3007188625300261,nan,-2.319909960120689,nan
2,fa-en,fl,zscore,0.04746234395611317,5,nan,-0.08109481601314834,-1.0952279378130885,-0.5381920816533691,1.3113139860776477,nan,0.640512569182524,nan
3,fa-en,fl,zscore,-0.6087564708548526,5,nan,0.8044994167027424,-1.4156368740047427,-0.6935933814053002,-0.5022229686059854,nan,-1.236828546960977,nan
4,fa-en,fl,zscore,0.8384559651226,5,nan,0.46010165953545157,0.9874301474326626,0.7568187496127238,1.3113139860776477,nan,0.6766152829545145,nan
5,fa-en,fl,zscore,-0.9407723030956671,5,nan,-0.6222912915617482,-1.2954835229328723,-1.2115977139117373,-0.04883872993507709,nan,-1.5256502571369004,nan
6,fa-en,fl,zscore,-0.5686744859525492,5,nan,-1.3110868058963299,-1.375585756980786,0.0316126841037118,0.0015372965839127169,nan,-0.18984984757325532,nan
7,fa-en,fl,zscore,1.0487173046293126,5,nan,0.7061000575120879,1.067532381480576,1.482024815121736,1.3113139860776477,nan,0.6766152829545145,nan
8,fa-en,fl,zscore,1.1776767730392899,5,nan,1.2472965330606878,1.067532381480576,1.5856256816230232,1.3113139860776477,nan,0.6766152829545145,nan
9,fa-en,fl,zscore,0.13101167184217566,5,nan,0.11570390236816072,-0.33425671435791027,0.8604196161140112,0.20304140265987194,nan,-0.18984984757325532,nan
10,fa-en,fl,zscore,0.35009438710749796,5,nan,0.4109019799401243,-0.5345122994776941,0.7568187496127238,0.40454550873583117,nan,0.7127179967265048,nan
11,fa-en,fl,zscore,-0.020329183517564475,5,nan,1.1488971738700333,-0.8148701186453913,-0.43459121515208166,0.15266537614088213,nan,-0.1537471338012649,nan
12,fa-en,fl,zscore,1.2252973609320763,5,nan,1.3456958922513422,1.067532381480576,1.6892265481243107,1.3113139860776477,nan,0.7127179967265048,nan
13,fa-en,fl,zscore,0.88213446443607,5,nan,2.4772885229438693,1.067532381480576,1.5856256816230232,1.3113139860776477,nan,-2.0310882499447658,nan
14,fa-en,fl,zscore,0.8198671112108087,5,nan,1.1980968534653604,1.067532381480576,0.6014174498607927,0.5556735882928006,nan,0.6766152829545145,nan
15,fa-en,fl,zscore,1.3423362904987353,5,nan,2.034491406585924,1.067532381480576,1.5856256816230232,1.3113139860776477,nan,0.7127179967265048,nan
16,fa-en,fl,zscore,0.3950846104505425,5,nan,1.2472965330606878,-1.495739108052656,0.6532178831114364,0.8579297474067394,nan,0.7127179967265048,nan
17,fa-en,fl,zscore,0.5701449586121015,5,nan,0.2633029411541425,0.586918977193095,1.1712222156178735,0.15266537614088213,nan,0.6766152829545145,nan
18,fa-en,fl,zscore,1.1657375946866202,5,nan,1.099697494274706,1.067532381480576,1.6374261148736668,1.3113139860776477,nan,0.7127179967265048,nan
19,fa-en,fl,zscore,0.7739272120653851,5,nan,0.017304543177506185,1.1075834985045327,0.7568187496127238,1.3113139860776477,nan,0.6766152829545145,nan
20,fa-en,fl,zscore,0.6957278754439247,5,nan,-0.4254925731804392,1.1075834985045327,0.8086191828633675,1.3113139860776477,nan,0.6766152829545145,nan
21,fa-en,fl,zscore,0.8673321792283393,5,nan,0.11570390236816072,1.067532381480576,1.482024815121736,0.958681800444719,nan,0.7127179967265048,nan
22,fa-en,fl,zscore,0.04621146032841863,5,nan,-0.2778935343944574,-0.13400112923812652,1.3266235153698047,1.3113139860776477,nan,-1.9949855361727755,nan
23,fa-en,fl,zscore,-0.32880670407941,5,nan,-0.4746922527757665,-0.6947167675735211,-0.5381920816533691,0.25341742917886173,nan,-0.18984984757325532,nan
24,fa-en,fl,zscore,0.20809752208933033,5,nan,1.1488971738700333,-0.7748190016214346,0.6532178831114364,0.20304140265987194,nan,-0.18984984757325532,nan
25,fa-en,fl,zscore,-0.05740677622294661,5,nan,0.3125026207494698,-0.6947167675735211,0.0316126841037118,0.25341742917886173,nan,-0.18984984757325532,nan
26,fa-en,fl,zscore,1.073797800596544,5,nan,2.4772885229438693,1.1075834985045327,1.6374261148736668,1.3113139860776477,nan,-1.1646231194169963,nan
27,fa-en,fl,zscore,0.6036081435806399,5,nan,0.11570390236816072,-0.7748190016214346,1.6892265481243107,1.3113139860776477,nan,0.6766152829545145,nan
28,fa-en,fl,zscore,-0.02105144760137772,5,nan,0.46010165953545157,-0.8549212356693481,-0.22738948214950677,0.7068016678497699,nan,-0.18984984757325532,nan
29,fa-en,fl,zscore,1.068066348665871,5,nan,1.2964962126560151,1.1075834985045327,0.912220049364655,1.3113139860776477,nan,0.7127179967265048,nan
30,fa-en,fl,zscore,0.7526656058048423,5,nan,1.2472965330606878,0.9874301474326626,0.49781658335950524,0.35416948221684136,nan,0.6766152829545145,nan
31,fa-en,fl,zscore,0.8200304636182352,5,nan,0.2633029411541425,1.0274812644566194,1.2748230821191608,0.8579297474067394,nan,0.6766152829545145,nan
32,fa-en,fl,zscore,-0.8000112114905831,5,nan,-0.573091611966421,-1.2954835229328723,-0.6417929481546565,0.5052975617738108,nan,-1.9949855361727755,nan
33,fa-en,fl,zscore,0.08164380134149729,5,nan,0.16490358196348798,0.10630557290561399,-0.2791899154001505,0.6060496148117903,nan,-0.18984984757325532,nan
34,fa-en,fl,zscore,-0.7131186882064704,5,nan,0.017304543177506185,-1.015125703765175,-0.02018774914693192,-0.5525989951249751,nan,-1.9949855361727755,nan
35,fa-en,fl,zscore,1.2754944140183928,5,nan,2.4772885229438693,1.067532381480576,0.8086191828633675,1.3113139860776477,nan,0.7127179967265048,nan
36,fa-en,fl,zscore,0.4215035287519272,5,nan,-0.3762928935851119,0.8672767963607922,0.0316126841037118,0.9083057739257292,nan,0.6766152829545145,nan
37,fa-en,fl,zscore,1.0600561252610796,5,nan,1.2964962126560151,1.067532381480576,0.912220049364655,1.3113139860776477,nan,0.7127179967265048,nan
38,fa-en,fl,zscore,0.623996679945171,5,nan,-0.2778935343944574,1.067532381480576,0.34241528360757406,1.3113139860776477,nan,0.6766152829545145,nan
39,fa-en,fl,zscore,0.03583145585164633,5,nan,0.3125026207494698,0.026203338857700487,-0.07198818239757564,0.10228934962189233,nan,-0.18984984757325532,nan
40,fa-en,fl,zscore,0.97517476652739,5,nan,1.2472965330606878,0.9874301474326626,0.6532178831114364,1.3113139860776477,nan,0.6766152829545145,nan
41,fa-en,fl,zscore,0.6695982323941922,5,nan,-0.6714909711570756,1.067532381480576,0.9640204826152986,1.3113139860776477,nan,0.6766152829545145,nan
42,fa-en,fl,zscore,1.3304343911647674,5,nan,2.4772885229438693,1.067532381480576,1.11942178236723,1.3113139860776477,nan,0.6766152829545145,nan
43,fa-en,fl,zscore,-0.698330224998817,5,nan,-0.17949417520380287,-0.7748190016214346,-0.7453938146559439,0.20304140265987194,nan,-1.9949855361727755,nan
44,fa-en,fl,zscore,0.07043242881576597,5,nan,-0.03189513641782108,-0.7748190016214346,-0.12378861564821934,0.6060496148117903,nan,0.6766152829545145,nan
45,fa-en,fl,zscore,0.5704141504442328,5,nan,1.2472965330606878,1.067532381480576,-0.22738948214950677,0.051913323102902524,nan,0.7127179967265048,nan
46,fa-en,fl,zscore,-0.02569983512313203,5,nan,0.21410326155881523,-0.7748190016214346,-0.3827907819014379,0.10228934962189233,nan,0.7127179967265048,nan
47,fa-en,fl,zscore,1.2364042002614615,5,nan,2.3296894841578877,1.1075834985045327,0.7568187496127238,1.3113139860776477,nan,0.6766152829545145,nan
48,fa-en,fl,zscore,-0.09315670683225849,5,nan,0.16490358196348798,-0.7748190016214346,-0.02018774914693192,0.35416948221684136,nan,-0.18984984757325532,nan
49,fa-en,fl,zscore,0.7327561257859542,5,nan,0.21410326155881523,1.067532381480576,0.3942157168582178,1.3113139860776477,nan,0.6766152829545145,nan
50,fa-en,fl,zscore,0.5820799454890989,5,nan,-0.17949417520380287,1.067532381480576,0.6532178831114364,0.6564256413307802,nan,0.7127179967265048,nan
51,fa-en,fl,zscore,-0.7838563636027079,5,nan,-0.4746922527757665,-1.015125703765175,-0.48639164840272536,0.051913323102902524,nan,-1.9949855361727755,nan
52,fa-en,fl,zscore,1.2164734380133513,5,nan,2.4772885229438693,1.067532381480576,0.549617016610149,1.3113139860776477,nan,0.6766152829545145,nan
53,fa-en,fl,zscore,-0.3592219125185407,5,nan,-0.76989033034773,-0.8148701186453913,-0.12378861564821934,0.10228934962189233,nan,-0.18984984757325532,nan
54,fa-en,fl,zscore,1.3073643546191724,5,nan,2.4772885229438693,1.1075834985045327,0.9640204826152986,1.3113139860776477,nan,0.6766152829545145,nan
55,fa-en,fl,zscore,1.0165967432167995,5,nan,0.8044994167027424,1.067532381480576,1.2230226488685172,1.3113139860776477,nan,0.6766152829545145,nan
56,fa-en,fl,zscore,-0.7373894663035014,5,nan,-0.573091611966421,-0.7347678845974778,-0.48639164840272536,0.10228934962189233,nan,-1.9949855361727755,nan
57,fa-en,fl,zscore,0.5199508555209362,5,nan,0.4109019799401243,1.067532381480576,0.34241528360757406,0.10228934962189233,nan,0.6766152829545145,nan
58,fa-en,fl,zscore,-0.05981102053090459,5,nan,-0.08109481601314834,-0.7347678845974778,0.34241528360757406,-0.5022229686059854,nan,0.6766152829545145,nan
59,fa-en,fl,zscore,-0.9863194589642026,5,nan,-0.7206906507524028,-1.375585756980786,-0.5899925149040127,-0.2503428360110363,nan,-1.9949855361727755,nan
60,fa-en,fl,zscore,0.651762426160709,5,nan,0.46010165953545157,0.6670212112410085,0.44601615010886153,1.0090578269637087,nan,0.6766152829545145,nan
61,fa-en,fl,zscore,0.4055466705459455,5,nan,-0.2778935343944574,1.0274812644566194,0.549617016610149,0.051913323102902524,nan,0.6766152829545145,nan
62,fa-en,fl,zscore,-0.8129068188091833,5,nan,-0.4746922527757665,-1.2554324059089155,-0.6935933814053002,0.35416948221684136,nan,-1.9949855361727755,nan
63,fa-en,fl,zscore,-0.1583695399691761,5,nan,0.11570390236816072,-1.6158924591245263,-0.02018774914693192,0.051913323102902524,nan,0.6766152829545145,nan
64,fa-en,fl,zscore,-0.9109873057171554,5,nan,-0.7206906507524028,-1.2954835229328723,-0.7971942479065877,0.25341742917886173,nan,-1.9949855361727755,nan
65,fa-en,fl,zscore,0.14725835737875675,5,nan,-0.3270932139897847,1.067532381480576,0.08341311735435551,0.10228934962189233,nan,-0.18984984757325532,nan
66,fa-en,fl,zscore,1.033926751809593,5,nan,0.902898775893397,1.1075834985045327,1.1712222156178735,1.3113139860776477,nan,0.6766152829545145,nan
67,fa-en,fl,zscore,1.1882216250095996,5,nan,2.4772885229438693,1.067532381480576,1.2748230821191608,1.3113139860776477,nan,-0.18984984757325532,nan
68,fa-en,fl,zscore,1.1485817454784335,5,nan,2.4772885229438693,1.0274812644566194,0.6532178831114364,0.9083057739257292,nan,0.6766152829545145,nan
69,fa-en,fl,zscore,-0.730917591185485,5,nan,-0.22869385479913013,-1.2554324059089155,-0.22738948214950677,0.051913323102902524,nan,-1.9949855361727755,nan
70,fa-en,fl,zscore,-0.5354937611971804,5,nan,-0.8190900099430574,0.10630557290561399,-0.07198818239757564,0.10228934962189233,nan,-1.9949855361727755,nan
71,fa-en,fl,zscore,0.09615283097827557,5,nan,-0.22869385479913013,-0.8148701186453913,0.34241528360757406,0.5052975617738108,nan,0.6766152829545145,nan
72,fa-en,fl,zscore,0.821046288736459,5,nan,0.46010165953545157,1.1075834985045327,0.549617016610149,1.3113139860776477,nan,0.6766152829545145,nan
73,fa-en,fl,zscore,0.4656593922400726,5,nan,0.4109019799401243,0.747123445288922,0.29061485035693035,0.20304140265987194,nan,0.6766152829545145,nan
74,fa-en,fl,zscore,0.46126016812097514,5,nan,0.21410326155881523,0.8672767963607922,0.44601615010886153,0.10228934962189233,nan,0.6766152829545145,nan
75,fa-en,fl,zscore,1.3073643546191724,5,nan,2.4772885229438693,1.1075834985045327,0.9640204826152986,1.3113139860776477,nan,0.6766152829545145,nan
76,fa-en,fl,zscore,-1.0317709893096851,5,nan,-0.4254925731804392,-1.1352790548370453,-0.8489946811572313,-0.7541031012009344,nan,-1.9949855361727755,nan
77,fa-en,fl,zscore,0.28611494976281227,5,nan,0.017304543177506185,1.067532381480576,-0.3827907819014379,0.051913323102902524,nan,0.6766152829545145,nan
78,fa-en,fl,zscore,0.6101909675398879,5,nan,-0.22869385479913013,1.1075834985045327,0.6014174498607927,0.8579297474067394,nan,0.7127179967265048,nan
79,fa-en,fl,zscore,-0.5377234173175237,5,nan,0.3125026207494698,0.10630557290561399,-0.7453938146559439,0.10228934962189233,nan,-2.4643208152086507,nan
