SEGID,LANGPAIR,ANNOTYPE,BINLABEL,MEANSCORE,NUMANNOT
1,fa-en,ml,False,1,0
2,fa-en,ml,False,1,0
3,fa-en,ml,False,1,0
4,fa-en,ml,False,1,0
5,fa-en,ml,False,1,0
6,fa-en,ml,False,1,0
7,fa-en,ml,False,1,0
8,fa-en,ml,False,1,0
9,fa-en,ml,False,1,0
10,fa-en,ml,False,1,0
11,fa-en,ml,False,1,0
12,fa-en,ml,False,1,0
13,fa-en,ml,False,1,0
14,fa-en,ml,False,1,0
15,fa-en,ml,False,1,0
16,fa-en,ml,False,1,0
17,fa-en,ml,False,1,0
18,fa-en,ml,False,1,0
19,fa-en,ml,False,1,0
20,fa-en,ml,False,1,0
21,fa-en,ml,False,1,0
22,fa-en,ml,False,1,0
23,fa-en,ml,False,1,0
24,fa-en,ml,False,1,0
25,fa-en,ml,False,1,0
26,fa-en,ml,False,1,0
27,fa-en,ml,False,1,0
28,fa-en,ml,False,1,0
29,fa-en,ml,False,1,0
30,fa-en,ml,False,1,0
31,fa-en,ml,False,1,0
32,fa-en,ml,False,1,0
33,fa-en,ml,False,1,0
34,fa-en,ml,False,1,0
35,fa-en,ml,False,1,0
36,fa-en,ml,False,1,0
37,fa-en,ml,False,1,0
38,fa-en,ml,False,1,0
39,fa-en,ml,False,1,0
40,fa-en,ml,False,1,0
41,fa-en,ml,False,1,0
42,fa-en,ml,False,1,0
43,fa-en,ml,False,1,0
44,fa-en,ml,False,1,0
45,fa-en,ml,False,1,0
46,fa-en,ml,False,1,0
47,fa-en,ml,False,1,0
48,fa-en,ml,False,1,0
49,fa-en,ml,False,1,0
50,fa-en,ml,True,1,0
51,fa-en,ml,False,1,0
52,fa-en,ml,False,1,0
53,fa-en,ml,False,1,0
54,fa-en,ml,False,1,0
55,fa-en,ml,False,1,0
56,fa-en,ml,False,1,0
57,fa-en,ml,False,1,0
58,fa-en,ml,False,1,0
59,fa-en,ml,False,1,0
60,fa-en,ml,False,1,0
61,fa-en,ml,False,1,0
62,fa-en,ml,False,1,0
63,fa-en,ml,False,1,0
64,fa-en,ml,False,1,0
65,fa-en,ml,False,1,0
66,fa-en,ml,False,1,0
67,fa-en,ml,False,1,0
68,fa-en,ml,False,1,0
69,fa-en,ml,False,1,0
70,fa-en,ml,False,1,0
71,fa-en,ml,False,1,0
72,fa-en,ml,False,1,0
73,fa-en,ml,False,1,0
74,fa-en,ml,False,1,0
75,fa-en,ml,False,1,0
76,fa-en,ml,False,1,0
77,fa-en,ml,False,1,0
78,fa-en,ml,False,1,0
79,fa-en,ml,False,1,0
80,fa-en,ml,False,1,0
81,fa-en,ml,False,1,0
82,fa-en,ml,False,1,0
83,fa-en,ml,False,1,0
84,fa-en,ml,False,1,0
85,fa-en,ml,False,1,0
86,fa-en,ml,False,1,0
87,fa-en,ml,False,1,0
88,fa-en,ml,False,1,0
89,fa-en,ml,False,1,0
90,fa-en,ml,False,1,0
91,fa-en,ml,False,1,0
92,fa-en,ml,False,1,0
93,fa-en,ml,False,1,0
94,fa-en,ml,False,1,0
95,fa-en,ml,False,1,0
96,fa-en,ml,False,1,0
97,fa-en,ml,False,1,0
98,fa-en,ml,False,1,0
99,fa-en,ml,False,1,0
100,fa-en,ml,False,1,0
101,fa-en,ml,False,1,0
102,fa-en,ml,False,1,0
103,fa-en,ml,False,1,0
104,fa-en,ml,False,1,0
105,fa-en,ml,False,1,0
106,fa-en,ml,False,1,0
107,fa-en,ml,True,1,0
108,fa-en,ml,False,1,0
109,fa-en,ml,False,1,0
110,fa-en,ml,False,1,0
111,fa-en,ml,False,1,0
112,fa-en,ml,False,1,0
113,fa-en,ml,False,1,0
114,fa-en,ml,False,1,0
115,fa-en,ml,False,1,0
116,fa-en,ml,False,1,0
117,fa-en,ml,False,1,0
118,fa-en,ml,False,1,0
119,fa-en,ml,False,1,0
120,fa-en,ml,False,1,0
121,fa-en,ml,False,1,0
122,fa-en,ml,False,1,0
123,fa-en,ml,False,1,0
124,fa-en,ml,False,1,0
125,fa-en,ml,False,1,0
126,fa-en,ml,False,1,0
127,fa-en,ml,False,1,0
128,fa-en,ml,False,1,0
129,fa-en,ml,False,1,0
130,fa-en,ml,False,1,0
131,fa-en,ml,False,1,0
132,fa-en,ml,False,1,0
133,fa-en,ml,False,1,0
134,fa-en,ml,False,1,0
135,fa-en,ml,False,1,0
136,fa-en,ml,False,1,0
137,fa-en,ml,False,1,0
138,fa-en,ml,False,1,0
139,fa-en,ml,False,1,0
140,fa-en,ml,False,1,0
141,fa-en,ml,False,1,0
142,fa-en,ml,False,1,0
143,fa-en,ml,False,1,0
144,fa-en,ml,False,1,0
145,fa-en,ml,False,1,0
146,fa-en,ml,False,1,0
147,fa-en,ml,False,1,0
148,fa-en,ml,False,1,0
149,fa-en,ml,False,1,0
150,fa-en,ml,False,1,0
151,fa-en,ml,False,1,0
152,fa-en,ml,False,1,0
153,fa-en,ml,False,1,0
154,fa-en,ml,False,1,0
155,fa-en,ml,False,1,0
156,fa-en,ml,False,1,0
157,fa-en,ml,False,1,0
158,fa-en,ml,False,1,0
159,fa-en,ml,False,1,0
160,fa-en,ml,False,1,0
161,fa-en,ml,False,1,0
162,fa-en,ml,False,1,0
163,fa-en,ml,False,1,0
164,fa-en,ml,False,1,0
165,fa-en,ml,False,1,0
166,fa-en,ml,False,1,0
167,fa-en,ml,False,1,0
168,fa-en,ml,False,1,0
169,fa-en,ml,False,1,0
170,fa-en,ml,False,1,0
171,fa-en,ml,False,1,0
172,fa-en,ml,False,1,0
173,fa-en,ml,False,1,0
174,fa-en,ml,True,1,0
175,fa-en,ml,False,1,0
176,fa-en,ml,False,1,0
177,fa-en,ml,False,1,0
178,fa-en,ml,False,1,0
179,fa-en,ml,False,1,0
180,fa-en,ml,False,1,0
181,fa-en,ml,True,1,0
182,fa-en,ml,False,1,0
183,fa-en,ml,False,1,0
184,fa-en,ml,False,1,0
185,fa-en,ml,False,1,0
186,fa-en,ml,False,1,0
187,fa-en,ml,False,1,0
188,fa-en,ml,False,1,0
189,fa-en,ml,False,1,0
190,fa-en,ml,False,1,0
191,fa-en,ml,False,1,0
192,fa-en,ml,False,1,0
193,fa-en,ml,False,1,0
194,fa-en,ml,False,1,0
195,fa-en,ml,False,1,0
196,fa-en,ml,False,1,0
197,fa-en,ml,False,1,0
198,fa-en,ml,True,1,0
199,fa-en,ml,False,1,0
200,fa-en,ml,False,1,0
201,fa-en,ml,False,1,0
202,fa-en,ml,False,1,0
203,fa-en,ml,False,1,0
204,fa-en,ml,False,1,0
205,fa-en,ml,False,1,0
206,fa-en,ml,False,1,0
207,fa-en,ml,False,1,0
208,fa-en,ml,True,1,0
209,fa-en,ml,False,1,0
210,fa-en,ml,False,1,0
211,fa-en,ml,False,1,0
212,fa-en,ml,False,1,0
213,fa-en,ml,False,1,0
214,fa-en,ml,False,1,0
215,fa-en,ml,False,1,0
216,fa-en,ml,False,1,0
217,fa-en,ml,False,1,0
218,fa-en,ml,False,1,0
219,fa-en,ml,False,1,0
220,fa-en,ml,False,1,0
221,fa-en,ml,False,1,0
222,fa-en,ml,False,1,0
223,fa-en,ml,False,1,0
224,fa-en,ml,False,1,0
225,fa-en,ml,False,1,0
226,fa-en,ml,False,1,0
227,fa-en,ml,False,1,0
228,fa-en,ml,False,1,0
229,fa-en,ml,False,1,0
230,fa-en,ml,False,1,0
231,fa-en,ml,False,1,0
232,fa-en,ml,False,1,0
233,fa-en,ml,False,1,0
234,fa-en,ml,False,1,0
235,fa-en,ml,False,1,0
236,fa-en,ml,False,1,0
237,fa-en,ml,False,1,0
238,fa-en,ml,False,1,0
239,fa-en,ml,False,1,0
240,fa-en,ml,False,1,0
241,fa-en,ml,False,1,0
242,fa-en,ml,False,1,0
243,fa-en,ml,False,1,0
244,fa-en,ml,False,1,0
245,fa-en,ml,False,1,0
246,fa-en,ml,False,1,0
247,fa-en,ml,False,1,0
248,fa-en,ml,False,1,0
249,fa-en,ml,False,1,0
250,fa-en,ml,False,1,0
251,fa-en,ml,False,1,0
252,fa-en,ml,False,1,0
253,fa-en,ml,False,1,0
254,fa-en,ml,True,1,0
255,fa-en,ml,False,1,0
256,fa-en,ml,False,1,0
257,fa-en,ml,False,1,0
258,fa-en,ml,False,1,0
259,fa-en,ml,False,1,0
260,fa-en,ml,False,1,0
261,fa-en,ml,False,1,0
262,fa-en,ml,False,1,0
263,fa-en,ml,False,1,0
264,fa-en,ml,False,1,0
265,fa-en,ml,False,1,0
266,fa-en,ml,False,1,0
267,fa-en,ml,False,1,0
268,fa-en,ml,False,1,0
269,fa-en,ml,False,1,0
270,fa-en,ml,False,1,0
271,fa-en,ml,False,1,0
272,fa-en,ml,False,1,0
273,fa-en,ml,False,1,0
274,fa-en,ml,False,1,0
275,fa-en,ml,False,1,0
276,fa-en,ml,False,1,0
277,fa-en,ml,False,1,0
278,fa-en,ml,True,1,0
279,fa-en,ml,False,1,0
280,fa-en,ml,False,1,0
281,fa-en,ml,False,1,0
282,fa-en,ml,False,1,0
283,fa-en,ml,False,1,0
284,fa-en,ml,False,1,0
285,fa-en,ml,False,1,0
286,fa-en,ml,False,1,0
287,fa-en,ml,False,1,0
288,fa-en,ml,False,1,0
289,fa-en,ml,False,1,0
290,fa-en,ml,False,1,0
291,fa-en,ml,False,1,0
292,fa-en,ml,False,1,0
293,fa-en,ml,False,1,0
