SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26
1,ko-en,ad,10,0.0029692405085715735,0.6693022851096712,1.3738339856013246,-0.6145732752214376,-0.6798247820268978,-0.32245022542188434,nan,1.2970144766628873,nan,-1.4321091343192658,nan,1.5914262041743006,0.3236962773669525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,ko-en,ad,10,-0.2889363756862084,0.8693478616126827,0.6336694004057117,1.3210288794447416,-0.39285329148546333,0.07592645069377327,nan,-0.07600831066599285,nan,0.9442378893154683,nan,1.5628389410080783,0.2190024318819315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,ko-en,ad,10,-0.25974581406673036,1.029384322815092,0.3489907137920144,-0.15706731139124977,-0.7117105031981682,0.026129366179316073,nan,0.643194101744373,nan,-1.0270499825633452,nan,0.5336974670240773,0.2539003803769385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,ko-en,ad,10,-0.6684136767394223,0.7893296310114781,1.345366116939955,1.5673782445840734,-0.36096757031419285,0.5241002113238881,nan,1.4277785516465902,nan,0.9442378893154683,nan,1.5914262041743006,0.9518593502770786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,ko-en,ad,10,1.2289728285266472,0.9893752075144897,1.3168982482785851,1.9544986755173093,1.3608613729344134,0.773085633896174,nan,1.4277785516465902,nan,0.9442378893154683,nan,1.5914262041743006,1.1961449897421277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,ko-en,ad,10,0.5575899112786534,0.7493205157108758,1.231494642294476,1.9544986755173093,1.3608613729344134,-0.12326188736405552,nan,1.4277785516465902,nan,0.9442378893154683,nan,0.9910936776836333,1.1961449897421277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,ko-en,ad,10,0.4700182264202195,0.4692567086066595,-0.19189879077401045,1.5321854781355975,0.8506898341940857,0.026129366179316073,nan,1.3623965141547387,nan,0.9442378893154683,nan,-0.20957137529770137,1.1961449897421277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,ko-en,ad,10,1.3457350750045594,0.5092658239072618,1.231494642294476,1.9544986755173093,1.3608613729344134,0.6734914648672596,nan,1.4277785516465902,nan,0.9442378893154683,nan,0.5622847301902995,1.1961449897421277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,ko-en,ad,10,-0.9895098545536802,-0.13088002090237535,-0.9035955073082537,-0.6849588081183895,-1.5726249748224714,-1.4179860847399426,nan,-1.2528849855193187,nan,-1.243081530166503,nan,-1.2673001124479246,-1.6305888383534397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,ko-en,ad,10,-0.5224608686420323,0.4292475933060572,0.49133005709886307,1.0746795143054095,0.7550326706802742,-0.07346480284959833,nan,1.1335593829332586,nan,-1.1890736432657134,nan,-1.0386020071181468,0.35859422586195955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
