SEGID,LANGPAIR,ANNOTYPE,BINLABEL,MEANSCORE,NUMANNOT
1,ko-en,ad,False,0.22092850524342222,10
2,ko-en,ad,True,0.48682538765247224,10
3,ko-en,ad,False,0.06797227407123177,10
4,ko-en,ad,True,0.8112094952219217,10
5,ko-en,ad,True,1.2783279601546105,10
6,ko-en,ad,True,1.0289758338759492,10
7,ko-en,ad,True,0.6449588840676501,10
8,ko-en,ad,True,1.1205793215419764,10
9,ko-en,ad,False,-1.10934107169323,10
10,ko-en,ad,True,0.14188421223103312,10
11,ko-en,ad,True,0.32507353858709837,10
12,ko-en,ad,True,0.9149649971098963,10
13,ko-en,ad,True,1.2099407761538965,10
14,ko-en,ad,True,1.3148095662591353,10
15,ko-en,ad,True,1.2824015989063902,10
16,ko-en,ad,False,-0.36673812762136726,10
17,ko-en,ad,False,-0.16392694276810543,10
18,ko-en,ad,False,-0.7168183202188996,10
19,ko-en,ad,True,0.9430136974843115,10
20,ko-en,ad,True,0.13393590181288462,10
21,ko-en,ad,False,-0.13613542394137745,10
22,ko-en,ad,False,0.046376759381566844,10
23,ko-en,ad,False,-1.1778844898126337,10
24,ko-en,ad,True,1.3142181433002218,10
25,ko-en,ad,True,0.8317706913462979,10
26,ko-en,ad,True,0.34296063272161764,10
27,ko-en,ad,True,0.5349500499800856,10
28,ko-en,ad,True,0.2994676670944085,10
29,ko-en,ad,False,0.13707384354041424,10
30,ko-en,ad,False,-0.5993435042058566,10
31,ko-en,ad,True,0.6868402779912187,10
32,ko-en,ad,False,0.10735747655567866,10
33,ko-en,ad,True,0.21077915135550102,10
34,ko-en,ad,False,-0.7263857714110562,10
35,ko-en,ad,True,1.382589075150641,10
36,ko-en,ad,False,-0.2418898361239601,10
37,ko-en,ad,True,1.090483602612016,10
38,ko-en,ad,False,0.24484191076208844,10
39,ko-en,ad,False,0.04853986669408942,10
40,ko-en,ad,False,-1.4354501319543629,10
41,ko-en,ad,False,-0.4167247775027386,10
42,ko-en,ad,True,1.1112342404869122,10
43,ko-en,ad,False,-0.4977677331736469,10
44,ko-en,ad,False,-0.40243891212300387,10
45,ko-en,ad,True,1.1115911605713198,10
46,ko-en,ad,False,0.015108120265860414,10
47,ko-en,ad,True,0.9053940758110208,10
48,ko-en,ad,False,-0.6153933615912484,10
49,ko-en,ad,True,0.4890227803997787,10
50,ko-en,ad,False,-0.412994593272372,10
51,ko-en,ad,False,-0.5565482829236285,10
52,ko-en,ad,True,1.0692554368434144,10
53,ko-en,ad,False,-0.18191308784679222,10
54,ko-en,ad,True,1.3953349490743434,10
55,ko-en,ad,True,1.2800146059642794,10
56,ko-en,ad,True,0.15674244120395459,10
57,ko-en,ad,True,0.3107535790736428,10
58,ko-en,ad,False,-0.1552600577620421,10
59,ko-en,ad,False,-0.19430416371811732,10
60,ko-en,ad,False,-0.37845340758193097,10
61,ko-en,ad,True,0.6564904465585633,10
62,ko-en,ad,False,-0.5294648163698572,10
63,ko-en,ad,True,0.1988252343632494,10
64,ko-en,ad,False,0.01816753219291294,10
65,ko-en,ad,True,0.0905822708389531,10
66,ko-en,ad,True,1.160110440286834,10
67,ko-en,ad,True,1.2989580212217948,10
68,ko-en,ad,True,0.840371361466149,10
69,ko-en,ad,False,-0.07371793802905102,10
70,ko-en,ad,False,-0.20052259112706516,10
71,ko-en,ad,True,0.5473035510406724,10
72,ko-en,ad,True,0.36829661308918,10
73,ko-en,ad,True,0.3041669895527644,10
74,ko-en,ad,False,-0.5131323866123975,10
75,ko-en,ad,True,1.2964118707454897,10
76,ko-en,ad,True,1.3314464094123657,10
77,ko-en,ad,False,-0.22708618146748508,10
78,ko-en,ad,True,1.332547627468612,10
79,ko-en,ad,False,-0.27913194450967616,10
80,ko-en,ad,True,0.4332131326354681,10
81,ko-en,ad,True,0.26756802841392274,10
82,ko-en,ad,True,0.5914921988743036,10
83,ko-en,ad,True,0.8243825724401965,10
84,ko-en,ad,True,0.4565828144558212,10
85,ko-en,ad,True,0.6361284223372957,10
86,ko-en,ad,False,-0.03626137963346032,10
87,ko-en,ad,False,-0.6194519486690118,10
88,ko-en,ad,False,-0.5283783647682962,10
89,ko-en,ad,False,-0.2994625706337935,10
90,ko-en,ad,False,-0.7332988320910572,10
91,ko-en,ad,False,-0.4295469389536549,10
92,ko-en,ad,False,-1.1098129366346547,10
93,ko-en,ad,True,1.0227582452501145,10
94,ko-en,ad,False,-0.6756292996013353,10
95,ko-en,ad,False,-1.210208132312514,10
96,ko-en,ad,False,-0.2578493214950993,10
97,ko-en,ad,False,-0.6230407283878293,10
98,ko-en,ad,True,1.302126310117942,10
99,ko-en,ad,False,-0.3493153955741861,10
100,ko-en,ad,True,0.47431408396357594,10
101,ko-en,ad,True,1.1438179635320558,10
102,ko-en,ad,False,-0.2259451144984325,10
103,ko-en,ad,False,0.1550098469048115,10
104,ko-en,ad,False,-0.5211511781645749,10
105,ko-en,ad,True,0.7893115906849566,10
106,ko-en,ad,False,-0.6926525833758085,10
107,ko-en,ad,False,0.04307174751545554,10
108,ko-en,ad,False,0.26952726399146415,10
109,ko-en,ad,True,1.1972953690992583,10
110,ko-en,ad,True,0.3121101813223601,10
111,ko-en,ad,False,-0.19894294770995075,10
112,ko-en,ad,False,-0.7807910331380437,10
113,ko-en,ad,True,0.26936240681443796,10
114,ko-en,ad,True,0.6962259762309575,10
115,ko-en,ad,False,-0.8544292135626546,10
116,ko-en,ad,False,-1.4900904617735669,10
117,ko-en,ad,True,0.20320831332411604,10
118,ko-en,ad,False,-1.1859169334659776,10
119,ko-en,ad,True,0.4702114754908554,10
120,ko-en,ad,False,-1.5114839529506443,10
121,ko-en,ad,False,-0.7763572838903208,10
122,ko-en,ad,True,0.1604820334101213,10
123,ko-en,ad,True,0.2855948984329949,10
124,ko-en,ad,True,1.5203556600441293,10
125,ko-en,ad,False,-0.8469000096453231,10
126,ko-en,ad,False,-0.41681269998837334,10
127,ko-en,ad,True,1.342186692715334,10
128,ko-en,ad,True,0.816564982106813,10
129,ko-en,ad,False,-1.054895344620518,10
130,ko-en,ad,True,0.6509670906507405,10
131,ko-en,ad,True,0.6351915035081162,10
132,ko-en,ad,True,0.8646194020014109,10
133,ko-en,ad,False,-0.14515744016256996,10
134,ko-en,ad,True,0.7968929188894693,10
135,ko-en,ad,False,0.05632959281666979,10
136,ko-en,ad,True,0.9604902314559258,10
137,ko-en,ad,False,-0.17234927317831183,10
138,ko-en,ad,True,0.4861509120962465,10
139,ko-en,ad,False,-1.1767531841936116,10
140,ko-en,ad,True,1.3548363278369497,10
141,ko-en,ad,True,0.01809086443143615,10
142,ko-en,ad,True,0.7833521479716541,10
143,ko-en,ad,True,1.3455499115953633,10
144,ko-en,ad,False,-0.07182953584846563,10
145,ko-en,ad,False,-0.6017510931358678,10
