SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26
1,ko-en,bl,10,39.0,83.0,76.0,26.0,35.0,41.0,nan,52.0,nan,25.0,nan,70.0,72.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,ko-en,bl,10,84.0,75.0,88.0,100.0,90.0,41.0,nan,100.0,nan,100.0,nan,100.0,74.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,ko-en,bl,10,28.0,77.0,83.0,24.0,40.0,38.0,nan,71.0,nan,32.0,nan,75.0,75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,ko-en,bl,10,95.0,75.0,96.0,100.0,100.0,52.0,nan,100.0,nan,100.0,nan,100.0,93.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,ko-en,bl,10,97.0,75.0,96.0,100.0,100.0,67.0,nan,100.0,nan,100.0,nan,100.0,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,ko-en,bl,10,96.0,75.0,95.0,100.0,86.0,20.0,nan,95.0,nan,90.0,nan,100.0,97.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,ko-en,bl,10,64.0,75.0,73.0,100.0,60.0,38.0,nan,100.0,nan,100.0,nan,100.0,99.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,ko-en,bl,10,85.0,75.0,91.0,100.0,90.0,53.0,nan,100.0,nan,100.0,nan,100.0,97.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,ko-en,bl,10,12.0,75.0,14.0,30.0,36.0,21.0,nan,29.0,nan,4.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,ko-en,bl,10,4.0,75.0,14.0,62.0,37.0,17.0,nan,79.0,nan,3.0,nan,0.0,76.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,ko-en,bl,10,29.0,76.0,82.0,100.0,65.0,47.0,nan,95.0,nan,84.0,nan,100.0,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,ko-en,bl,10,94.0,76.0,88.0,100.0,88.0,61.0,nan,100.0,nan,100.0,nan,100.0,97.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,ko-en,bl,10,95.0,75.0,92.0,100.0,89.0,54.0,nan,100.0,nan,92.0,nan,100.0,85.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,ko-en,bl,10,81.0,75.0,82.0,100.0,65.0,58.0,nan,100.0,nan,100.0,nan,100.0,99.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,ko-en,bl,10,85.0,75.0,88.0,100.0,91.0,59.0,nan,100.0,nan,100.0,nan,100.0,98.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,ko-en,bl,10,6.0,76.0,14.0,39.0,36.0,32.0,nan,89.0,nan,13.0,nan,19.0,78.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,ko-en,bl,10,7.0,71.0,15.0,37.0,61.0,28.0,nan,61.0,nan,28.0,nan,62.0,76.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
