SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26
1,ko-en,fl,10,41.0,100.0,79.0,89.0,72.0,41.0,nan,84.0,nan,77.0,nan,50.0,75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,ko-en,fl,10,89.0,92.0,94.0,100.0,100.0,53.0,nan,100.0,nan,100.0,nan,100.0,72.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,ko-en,fl,10,28.0,92.0,84.0,69.0,42.0,44.0,nan,71.0,nan,63.0,nan,59.0,82.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,ko-en,fl,10,97.0,86.0,96.0,100.0,100.0,55.0,nan,100.0,nan,100.0,nan,85.0,93.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,ko-en,fl,10,96.0,100.0,98.0,100.0,100.0,67.0,nan,100.0,nan,100.0,nan,100.0,94.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,ko-en,fl,10,92.0,93.0,96.0,100.0,100.0,24.0,nan,94.0,nan,88.0,nan,100.0,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,ko-en,fl,10,77.0,69.0,74.0,100.0,100.0,46.0,nan,100.0,nan,100.0,nan,100.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,ko-en,fl,10,100.0,88.0,93.0,100.0,100.0,55.0,nan,100.0,nan,100.0,nan,76.0,97.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,ko-en,fl,10,11.0,80.0,9.0,42.0,34.0,32.0,nan,30.0,nan,33.0,nan,6.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,ko-en,fl,10,5.0,81.0,29.0,84.0,37.0,53.0,nan,96.0,nan,15.0,nan,14.0,81.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,ko-en,fl,10,36.0,87.0,85.0,100.0,65.0,54.0,nan,100.0,nan,97.0,nan,100.0,94.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,ko-en,fl,10,93.0,89.0,91.0,100.0,100.0,61.0,nan,100.0,nan,100.0,nan,100.0,98.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,ko-en,fl,10,95.0,99.0,97.0,100.0,100.0,55.0,nan,100.0,nan,100.0,nan,100.0,86.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,ko-en,fl,10,89.0,100.0,87.0,100.0,100.0,58.0,nan,92.0,nan,100.0,nan,100.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,ko-en,fl,10,90.0,100.0,93.0,100.0,100.0,57.0,nan,100.0,nan,100.0,nan,100.0,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,ko-en,fl,10,6.0,100.0,16.0,81.0,88.0,42.0,nan,60.0,nan,0.0,nan,19.0,77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,ko-en,fl,10,6.0,83.0,16.0,75.0,100.0,37.0,nan,79.0,nan,79.0,nan,30.0,77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,ko-en,fl,10,10.0,25.0,18.0,100.0,100.0,30.0,nan,77.0,nan,95.0,nan,9.0,67.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,ko-en,fl,10,30.0,98.0,35.0,100.0,89.0,45.0,nan,100.0,nan,100.0,nan,75.0,98.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,ko-en,fl,10,85.0,83.0,93.0,100.0,100.0,53.0,nan,100.0,nan,100.0,nan,88.0,97.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,ko-en,fl,10,4.0,92.0,19.0,100.0,86.0,42.0,nan,89.0,nan,85.0,nan,79.0,76.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,ko-en,fl,10,14.0,90.0,40.0,29.0,88.0,42.0,nan,87.0,nan,29.0,nan,60.0,75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,ko-en,fl,10,8.0,26.0,14.0,87.0,86.0,19.0,nan,43.0,nan,13.0,nan,25.0,47.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,ko-en,fl,10,70.0,100.0,92.0,100.0,100.0,56.0,nan,92.0,nan,100.0,nan,87.0,94.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,ko-en,fl,10,80.0,86.0,78.0,100.0,100.0,46.0,nan,100.0,nan,100.0,nan,100.0,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,ko-en,fl,10,97.0,96.0,90.0,100.0,100.0,53.0,nan,100.0,nan,100.0,nan,100.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,ko-en,fl,10,28.0,92.0,75.0,100.0,100.0,46.0,nan,93.0,nan,100.0,nan,86.0,82.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,ko-en,fl,10,9.0,87.0,30.0,84.0,87.0,46.0,nan,79.0,nan,100.0,nan,61.0,85.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,ko-en,fl,10,21.0,75.0,24.0,100.0,86.0,45.0,nan,96.0,nan,86.0,nan,75.0,92.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,ko-en,fl,10,7.0,85.0,23.0,100.0,90.0,44.0,nan,100.0,nan,100.0,nan,75.0,87.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,ko-en,fl,10,6.0,83.0,41.0,100.0,90.0,33.0,nan,71.0,nan,100.0,nan,84.0,76.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,ko-en,fl,10,4.0,74.0,22.0,16.0,85.0,26.0,nan,53.0,nan,70.0,nan,65.0,65.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,ko-en,fl,10,78.0,95.0,80.0,100.0,100.0,45.0,nan,nan,nan,100.0,nan,75.0,73.0,27.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,ko-en,fl,10,23.0,39.0,13.0,39.0,91.0,38.0,nan,nan,nan,19.0,nan,25.0,81.0,23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,ko-en,fl,10,99.0,100.0,96.0,100.0,100.0,67.0,nan,nan,nan,100.0,nan,100.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,ko-en,fl,10,96.0,86.0,84.0,100.0,100.0,35.0,nan,nan,nan,100.0,nan,75.0,83.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,ko-en,fl,10,100.0,100.0,88.0,100.0,100.0,55.0,nan,nan,nan,100.0,nan,100.0,97.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,ko-en,fl,10,99.0,100.0,98.0,100.0,100.0,55.0,nan,nan,nan,100.0,nan,100.0,99.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,ko-en,fl,10,77.0,100.0,60.0,90.0,100.0,47.0,nan,nan,nan,77.0,nan,25.0,62.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,ko-en,fl,10,90.0,0.0,96.0,100.0,100.0,37.0,nan,nan,nan,100.0,nan,100.0,98.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41,ko-en,fl,10,100.0,100.0,97.0,100.0,100.0,62.0,nan,nan,nan,100.0,nan,100.0,98.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42,ko-en,fl,10,99.0,100.0,97.0,100.0,100.0,68.0,nan,nan,nan,100.0,nan,100.0,99.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
43,ko-en,fl,10,61.0,100.0,43.0,100.0,100.0,52.0,nan,nan,nan,100.0,nan,75.0,73.0,85.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44,ko-en,fl,10,11.0,59.0,22.0,20.0,64.0,45.0,nan,nan,nan,100.0,nan,25.0,34.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,ko-en,fl,10,99.0,100.0,92.0,100.0,100.0,42.0,nan,nan,nan,78.0,nan,100.0,93.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46,ko-en,fl,10,79.0,84.0,72.0,93.0,100.0,37.0,nan,nan,nan,68.0,nan,55.0,35.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
47,ko-en,fl,10,99.0,87.0,97.0,100.0,100.0,53.0,nan,nan,nan,100.0,nan,100.0,100.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
48,ko-en,fl,10,45.0,90.0,25.0,100.0,100.0,44.0,nan,nan,nan,88.0,nan,54.0,96.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,ko-en,fl,10,53.0,94.0,60.0,84.0,75.0,43.0,nan,nan,nan,43.0,nan,88.0,75.0,79.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,ko-en,fl,10,72.0,80.0,55.0,100.0,86.0,39.0,nan,nan,nan,100.0,nan,58.0,78.0,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,ko-en,fl,10,52.0,25.0,25.0,100.0,92.0,36.0,nan,nan,nan,100.0,nan,42.0,41.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
52,ko-en,fl,10,99.0,90.0,47.0,100.0,90.0,43.0,nan,nan,nan,100.0,nan,100.0,91.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53,ko-en,fl,10,20.0,32.0,25.0,25.0,90.0,37.0,nan,nan,nan,80.0,nan,23.0,30.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54,ko-en,fl,10,100.0,100.0,97.0,100.0,100.0,57.0,nan,nan,nan,100.0,nan,100.0,98.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
