SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26
1,ko-en,fl,10,-0.3354826634299723,1.2108014485716247,0.6063468834198585,0.8909860329722548,-0.733347959512222,-0.2583167743796108,nan,0.6046795716433994,nan,-0.05654466888086466,nan,-0.32857065220972076,0.22597072098963666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,ko-en,fl,10,1.0374269683713944,0.8673474246519376,1.0455482916448002,1.2236575508402427,0.6875438463276977,0.31109432192595593,nan,1.1628786673443121,nan,0.7224733982298798,nan,1.2009444401262201,0.12153781946334992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,ko-en,fl,10,-0.7073123553761758,0.8673474246519376,0.7527473528281724,0.28612872775773085,-2.25573203719785,-0.11596400030321914,nan,0.15114280638640776,nan,-0.5307295792961004,nan,-0.053257935589251404,0.46964749121763905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,ko-en,fl,10,1.266245240338289,0.6097569067121723,1.1041084794081257,1.2236575508402427,0.6875438463276977,0.40599617131021704,nan,1.1628786673443121,nan,0.7224733982298798,nan,0.7420899124254378,0.8525681301473571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,ko-en,fl,10,1.237642956342427,1.2108014485716247,1.1626686671714512,1.2236575508402427,0.6875438463276977,0.9754072676157838,nan,1.1628786673443121,nan,0.7224733982298798,nan,1.2009444401262201,0.8873790973227861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,ko-en,fl,10,1.1232338203589798,0.9102791776418985,1.1041084794081257,1.2236575508402427,0.6875438463276977,-1.0649824941458303,nan,0.9535540064564698,nan,0.3160291893025349,nan,1.2009444401262201,0.9570010316736439,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,ko-en,fl,10,0.6941995604210527,-0.12008289411716275,0.45994641401154474,1.2236575508402427,0.6875438463276977,-0.021062150918958016,nan,1.1628786673443121,nan,0.7224733982298798,nan,1.2009444401262201,1.0962449003753596,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,ko-en,fl,10,1.3520520923258743,0.6956204126920941,1.0162681977631374,1.2236575508402427,0.6875438463276977,0.40599617131021704,nan,1.1628786673443121,nan,0.7224733982298798,nan,0.46677719580496846,0.9918119988490728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,ko-en,fl,10,-1.1935511833058265,0.352166388772407,-1.4432596882965354,-0.5304286342818764,-2.6617011245806843,-0.6853750966087858,nan,-1.2792423763471812,nan,-1.5468401016144628,nan,-1.6745439334653487,-2.384851817167532,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,ko-en,fl,10,-1.3651648872809974,0.3950981417623679,-0.85765781066328,0.7397717066686238,-2.5094627168121217,0.31109432192595593,nan,1.0233288934190838,nan,-2.15650641500548,nan,-1.4298215186915981,0.4348365240422101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,ko-en,fl,10,-0.47849408340928135,0.6526886597021332,0.7820274467098353,1.2236575508402427,-1.088570910972202,0.35854524661808646,nan,1.1628786673443121,nan,0.6208623459980436,nan,1.2009444401262201,0.8873790973227861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,ko-en,fl,10,1.1518361043548415,0.738552165682055,0.9577080099998119,1.2236575508402427,0.6875438463276977,0.6907017194630004,nan,1.1628786673443121,nan,0.7224733982298798,nan,1.2009444401262201,1.0266229660245016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,ko-en,fl,10,1.2090406723465652,1.1678696955816639,1.1333885732897884,1.2236575508402427,0.6875438463276977,0.40599617131021704,nan,1.1628786673443121,nan,0.7224733982298798,nan,1.2009444401262201,0.6088913599193547,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,ko-en,fl,10,1.0374269683713944,1.2108014485716247,0.8405876344731608,1.2236575508402427,0.6875438463276977,0.5483489453866087,nan,0.8837791194938558,nan,0.7224733982298798,nan,1.2009444401262201,1.0962449003753596,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,ko-en,fl,10,1.066029252367256,1.2108014485716247,1.0162681977631374,1.2236575508402427,0.6875438463276977,0.5008980206944782,nan,1.1628786673443121,nan,0.7224733982298798,nan,1.2009444401262201,0.9570010316736439,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,ko-en,fl,10,-1.3365626032851354,1.2108014485716247,-1.238299031124896,0.6490431108864452,0.07859021525344638,-0.21086584968748026,nan,-0.23261907190796974,nan,-2.664561676164661,nan,-1.276870009458004,0.2955926553404945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,ko-en,fl,10,-1.3365626032851354,0.48096164774228967,-1.238299031124896,0.467585919322088,0.6875438463276977,-0.4481204731481331,nan,0.43024235423686413,nan,0.011196032607026164,nan,-0.9403766891440971,0.2955926553404945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,ko-en,fl,10,-1.2221534673016883,-2.0090800256754417,-1.1797388433615703,1.2236575508402427,0.6875438463276977,-0.780276945993047,nan,0.36046746727425005,nan,0.5531216445101528,nan,-1.5827730279251921,-0.05251701641379465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,ko-en,fl,10,-0.6501077873844522,1.124937942591703,-0.6819772473733033,1.2236575508402427,0.12933635117630066,-0.06851307561108858,nan,1.1628786673443121,nan,0.7224733982298798,nan,0.43618689395824967,1.0266229660245016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,ko-en,fl,10,0.9230178323879471,0.48096164774228967,1.0162681977631374,1.2236575508402427,0.6875438463276977,0.31109432192595593,nan,1.1628786673443121,nan,0.7224733982298798,nan,0.8338608179655943,0.9918119988490728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,ko-en,fl,10,-1.3937671712768591,0.8673474246519376,-1.1504587494799077,1.2236575508402427,-0.022902056592262167,-0.21086584968748026,nan,0.7791167890499346,nan,0.21441813707069862,nan,0.5585481013451249,0.2607816881650656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,ko-en,fl,10,-1.1077443313182411,0.7814839186720158,-0.5355767779649895,-0.9235858826713169,0.07859021525344638,-0.21086584968748026,nan,0.7093419020873205,nan,-1.6823215045902444,nan,-0.022667633742532587,0.22597072098963666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
